,Name,School,L10_High_UB,L10_Ave_UB,Freshman,NCAA_High_UB,NCAA_Ave_UB,UB_nqs
0,Natalie Wojcik,Michigan,9.775,7.228124999999999,2019,9.975,9.862,9.955
1,Jordan Bowers,Oklahoma,9.85,7.582142857142858,2022,9.975,9.919,9.95
