,Name,School,L10_High_UB,L10_Ave_UB,Freshman,NCAA_High_UB,NCAA_Ave_UB,UB_nqs,UB_delta
2883,Amber Hu,Pennsylvania,9.4,7.267307692307693,2013,9.775,9.22,9.705,0.375
2884,Camilla Opperman,Yale,9.0,8.645,2014,9.6,9.175,0.0,0.6
2885,Hannah Gilbert,San Jose State,9.075,7.058333333333333,2013,0.0,0.0,0.0,-9.075
2886,Virginia Brownsell,Southern Utah,9.025,5.633333333333334,2014,0.0,0.0,0.0,-9.025
2887,Serena Leong,California,9.275,6.667307692307692,2013,0.0,0.0,0.0,-9.275
2888,Michelle Yasukochi,Utah State,8.825,6.813461538461538,2013,9.8,9.582,9.7,0.975
2889,Ashley Tai,Stanford,9.425,6.199404761904762,2017,0.0,0.0,0.0,-9.425
2890,Julia York,Alaska,0.0,0.0,2014,0.0,0.0,0.0,0.0
2891,Alyssa Anderson,Sacramento State,9.125,7.3374999999999995,2013,9.875,9.361,9.67,0.75
2892,Brennan Bailes,Sacramento State,9.15,7.220833333333334,2014,9.8,9.517,9.75,0.65
2893,Lindsay Mable,Minnesota,9.55,7.776923076923078,2013,9.925,9.75,9.905,0.375
2894,Rachel Abrams,Ohio State,9.65,7.672916666666666,2013,9.875,9.704,9.82,0.225
2895,Lark Pokladnik,Missouri,9.425,7.388636363636363,2014,0.0,0.0,0.0,-9.425
2896,JoAnna Cuba,Utah State,9.55,6.93125,2013,9.85,9.636,9.845,0.3
2897,Jordyn Beck,Nebraska,9.525,9.399999999999999,2014,9.8,9.645,0.0,0.275
2898,Courtney Heise,Lindenwood,9.7,7.566666666666666,2013,9.9,9.657,9.88,0.2
2899,Kristen DeCosta,Iowa State,9.275,7.3062499999999995,2013,9.775,9.168,9.71,0.5
2900,Maggie Teets,Stanford,9.65,7.45,2013,9.1,9.1,0.0,-0.55
2901,Ashleigh Gillis,Texas Woman's,8.675,4.5321428571428575,2013,0.0,0.0,0.0,-8.675
2902,Maria Hundley,Seattle Pacific,7.8,7.466666666666667,2013,9.925,9.607,9.865,2.125
2903,Tori Beckwith,Lindenwood,9.2,4.734090909090909,2013,0.0,0.0,0.0,-9.2
2904,Allison Scates,Centenary College,9.0,7.203846153846154,2014,9.875,9.305,9.705,0.875
2905,Erin Odom,Towson,9.475,5.55625,2013,0.0,0.0,0.0,-9.475
2906,Sydnie Dillard,Arkansas,8.9,5.621666666666667,2013,0.0,0.0,0.0,-8.9
2907,Hunter Price,Oklahoma,9.275,1.0305555555555557,2013,0.0,0.0,0.0,-9.275
2908,Joey Ching,Air Force,7.9,6.616666666666667,2014,0.0,0.0,0.0,-7.9
2909,Carly Kiesow,UW-La Crosse,8.6,8.055,2013,9.7,9.138,9.545,1.1
2910,Montana Whittle,Kentucky,8.575,5.699999999999999,2014,9.775,9.547,9.72,1.2
2911,Brittney Sooksengdao,Yale,9.05,8.74375,2013,9.825,9.825,0.0,0.775
2912,Nicole Pruchnik,Southern Conn.,8.5,5.574999999999999,2013,0.0,0.0,0.0,-8.5
2913,Jillian Casarella,Ursinus College,7.3,7.225,2014,9.675,9.432,9.63,2.375
