,School,Conference,Year,Final Rank,NQS,Home Average,Away Average,Location Delta,Scores >= 9.9,VT Delta,UB Delta,BB Delta,FX Delta,AA Delta
231,Penn State,Big10,2014,12,196.525,196.442,195.4,1.042,8.1,1.292,3.808,2.598,2.891,17.57
232,Pennsylvania,GEC,2014,63,190.8,190.119,187.858,2.261,0.0,3.008,1.77,2.752,2.72,1000.0
233,Pittsburgh,EAGL,2014,43,194.71,194.585,194.196,0.389,1.8,1.561,2.741,2.209,2.299,8.179
234,Rhode Island College,NaN,2014,81,174.705,169.988,174.067,-4.079,0.0,3.024,3.639,1000.0,2.087,1000.0
235,Rutgers,Big10,2014,35,195.34,194.725,194.483,0.242,2.5,2.323,3.678,2.521,3.893,8.606
236,S.E. Missouri,MIC,2014,48,194.22,193.475,193.188,0.287,0.7,3.17,2.898,3.133,2.794,12.213
237,Sacramento State,MPSF,2014,45,194.36,194.431,193.378,1.053,1.0,2.064,2.648,1.635,1.723,8.398
238,San Jose State,MPSF,2014,33,195.51,195.508,194.714,0.794,2.4,4.511,2.327,2.936,1000.0,1000.0
239,Southern Conn.,GEC,2014,68,189.41,187.462,189.072,-1.61,0.4,1000.0,2.694,1.982,3.326,1000.0
240,Southern Utah,MRGC,2014,26,195.665,195.144,195.128,0.016,1.4,3.014,2.833,2.484,3.268,10.961
241,Stanford,PAC12,2014,9,197.005,196.5,196.475,0.025,17.1,3.034,2.367,2.854,2.861,9.703
242,Temple,EAGL,2014,62,191.725,191.462,189.982,1.48,0.0,1.515,1.845,2.545,1.401,8.386
243,Texas Woman's,MIC,2014,47,194.565,193.954,193.559,0.395,1.5,3.615,3.583,4.15,4.638,18.094
244,Towson,EAGL,2014,59,192.455,190.95,191.666,-0.716,0.0,1.377,3.133,2.567,2.289,8.596
245,UC Davis,MPSF,2014,34,195.26,194.79,194.141,0.649,1.9,1.882,2.495,2.742,1.883,1000.0
246,UCLA,Pac12,2014,8,197.07,196.785,196.778,0.007,28.5,1000.0,3.6,1000.0,1000.0,1000.0
247,Ursinus College,NaN,2014,73,185.19,183.392,184.271,-0.879,0.0,2.187,4.029,3.581,0.301,1000.0
248,Utah,Pac12,2014,7,197.595,197.387,197.139,0.248,34.0,1.91,1.916,2.089,2.052,8.069
249,Utah State,MRGC,2014,36,195.57,194.895,194.206,0.689,1.8,2.14,2.74,2.124,2.063,9.428
250,UW-Eau Claire,NaN,2014,76,182.67,182.633,181.812,0.821,0.0,2.238,1000.0,1.375,2.114,1000.0
251,UW-La Crosse,NaN,2014,72,187.365,184.825,186.507,-1.682,0.0,2.163,3.236,2.214,2.773,7.215
252,UW-Oshkosh,NaN,2014,74,183.48,181.833,182.861,-1.028,0.0,1.962,2.338,1.424,2.264,10.767
253,UW-Stout,NaN,2014,78,182.43,181.825,181.738,0.087,0.0,3.054,2.208,2.093,2.567,9.935
254,UW-Whitewater,NaN,2014,69,189.175,187.575,187.584,-0.009,0.4,2.93,2.68,1.428,1.999,10.126
255,Washington,PAC12,2014,26,195.36,195.438,194.55,0.888,2.5,2.222,3.065,2.612,3.356,8.68
256,West Chester,GEC,2014,66,189.875,189.933,188.647,1.286,0.0,1.303,2.315,1.912,2.183,7.704
257,West Virginia,Big12,2014,37,195.15,195.585,194.133,1.452,4.0,2.683,1.917,2.448,2.424,7.789
258,Western Michigan,MAC,2014,50,194.065,193.355,192.663,0.692,0.8,2.413,2.231,2.499,2.457,7.887
259,William & Mary,GEC,2014,56,193.32,192.581,192.332,0.249,0.4,2.683,2.172,2.896,2.478,9.05
260,Winona State,NaN,2014,75,182.95,180.15,182.339,-2.189,0.0,3.399,1000.0,1000.0,2.593,1000.0
261,Yale,GEC,2014,64,190.065,186.725,189.741,-3.016,0.0,2.269,1.639,1.968,1.273,6.851
262,Seattle Pacific,NaN,2014,54,194.055,192.644,193.033,-0.389,0.6,1.748,2.189,2.298,3.246,1000.0
263,UIC,NaN,2014,52,193.99,192.94,192.881,0.059,1.3,2.588,1000.0,1.683,2.658,1000.0
264,Air Force,MPSF,2015,62,192.595,192.375,191.075,1.3,0.0,2.957,2.71,3.218,3.018,8.893
265,Alabama,SEC,2015,4,197.535,197.246,197.175,0.071,32.0,2.671,1.612,2.27,2.695,10.665
266,Alaska,MPSF,2015,61,192.605,192.185,191.162,1.023,0.4,2.992,2.407,3.279,2.974,15.1
267,Arizona,Pac12,2015,17,196.445,196.315,195.678,0.637,4.5,4.112,2.987,2.738,3.34,11.34
268,Arkansas,SEC,2015,14,196.395,196.015,195.904,0.111,12.2,2.66,2.168,2.17,1.994,8.266
269,Auburn,SEC,2015,6,197.085,197.17,196.337,0.833,16.7,3.469,1000.0,1000.0,1000.0,1000.0
270,Ball State,MAC,2015,52,194.125,193.806,193.616,0.19,1.4,1.915,2.496,2.37,2.783,9.12
271,Boise State,MRGC,2015,20,196.495,196.431,195.853,0.578,11.6,2.586,2.774,2.582,3.639,8.644
272,Bowling Green,2763,2015,42,194.945,195.035,193.336,1.699,0.7,2.648,2.793,3.102,2.653,1000.0
273,Bridgeport,GEC,2015,46,194.645,194.75,193.821,0.929,5.4,3.447,5.37,2.38,1.997,11.135
274,Brockport,NaN,2015,68,190.88,190.792,188.969,1.823,0.0,2.142,3.46,2.625,2.613,1000.0
275,Brown,GEC,2015,55,193.65,193.17,192.979,0.191,0.3,2.346,3.332,2.447,2.986,8.97
276,BYU,MRGC,2015,36,195.365,194.695,194.811,-0.116,3.5,1.611,2.267,2.276,3.102,7.328
277,California,Pac12,2015,18,196.24,196.256,195.703,0.553,10.8,2.614,2.207,2.739,2.425,7.401
278,Centenary College,MIC,2015,66,190.93,190.788,188.331,2.457,0.0,2.979,2.821,3.183,2.938,10.611
279,Central Michigan,MAC,2015,19,196.19,194.39,195.663,-1.273,8.7,2.223,3.1,2.931,2.697,1000.0
280,Cornell,GEC,2015,64,191.29,190.562,190.354,0.208,0.0,2.157,3.54,2.87,2.081,1000.0
281,Cortland State,NaN,2015,72,188.73,187.48,188.017,-0.537,0.0,0.746,1.149,1.266,1.428,1000.0
282,Denver,Big12,2015,15,196.455,196.083,195.866,0.217,11.4,1.885,2.103,2.495,2.356,8.282
283,Eastern Michigan,MAC,2015,37,195.28,194.765,195.107,-0.342,0.7,2.857,2.61,3.565,3.503,11.299
284,Florida,SEC,2015,1,197.89,197.81,197.406,0.404,39.4,1.599,1.905,1.717,1.658,7.721
285,George Washington,EAGL,2015,35,195.49,195.6,194.76,0.84,7.9,2.426,2.975,2.419,2.452,10.559
286,Georgia,SEC,2015,9,196.925,196.571,196.338,0.233,18.3,2.472,1.657,1.455,1.481,1000.0
287,Gustavus Adolphus,NaN,2015,81,178.82,176.475,176.918,-0.443,0.0,0.276,0.67,0.135,0.092,1.167
288,Hamline,NaN,2015,78,184.345,183.012,181.783,1.229,0.0,2.845,3.25,2.008,1.79,9.737
289,Illinois,Big10,2015,13,196.595,196.16,196.3,-0.14,11.6,3.175,3.484,1000.0,2.767,1000.0
290,Illinois State,MIC,2015,53,193.985,191.635,191.936,-0.301,0.7,2.276,2.422,2.117,2.046,1000.0
291,Iowa,Big10,2015,31,196.03,195.575,195.269,0.306,6.6,3.174,2.181,1.857,3.512,1000.0
292,Iowa State,Big12,2015,29,195.47,195.365,194.669,0.696,3.8,2.233,2.633,2.782,2.571,10.623
293,Ithaca College,NaN,2015,74,186.25,183.0,186.118,-3.118,0.0,2.898,2.314,1.913,2.813,1000.0
294,Kent State,MAC,2015,38,195.14,195.808,193.8,2.008,6.8,2.796,2.975,2.249,2.687,9.348
295,Kentucky,SEC,2015,24,195.83,195.945,195.125,0.82,3.4,2.117,2.18,2.46,2.963,10.544
296,Lindenwood,MIC,2015,50,194.715,194.4,193.485,0.915,2.5,3.012,2.773,2.486,2.446,9.617
297,LSU,SEC,2015,10,197.65,197.775,197.147,0.628,35.2,2.26,2.558,2.289,2.473,9.771
298,Maryland,Big10,2015,33,195.505,194.57,195.259,-0.689,2.6,3.162,3.389,2.205,3.561,15.015
299,Michigan,Big10,2015,7,197.275,197.295,197.016,0.279,26.7,3.14,2.303,3.49,3.481,10.687
300,Michigan State,Big10,2015,26,195.735,195.025,195.18,-0.155,7.2,2.056,1.94,1.635,1.69,4.637
301,Minnesota,BIG10,2015,23,196.45,195.561,195.554,0.007,13.4,2.56,2.557,2.665,2.861,10.179
302,Missouri,SEC,2015,21,195.885,195.138,195.264,-0.126,3.9,1.722,2.395,2.168,1.837,5.157
303,Nebraska,Big10,2015,8,197.05,196.679,196.621,0.058,18.3,2.693,3.142,2.498,2.582,10.037
304,New Hampshire,EAGL,2015,32,195.86,195.5,194.872,0.628,2.6,2.576,3.2,3.115,2.349,10.665
305,North Carolina,EAGL,2015,44,194.845,194.519,194.529,-0.01,1.1,3.003,2.14,3.255,2.845,9.382
306,North Carolina State,EAGL,2015,25,195.585,194.14,195.329,-1.189,3.0,1.926,2.899,2.113,2.255,14.761
307,Northern Illinois,MAC,2015,45,194.78,194.225,193.586,0.639,1.4,3.983,3.881,3.082,3.372,12.777
308,Ohio State,Big10,2015,27,195.49,195.335,195.125,0.21,1.3,3.122,2.801,2.527,3.609,10.105
309,Oklahoma,Big12,2015,3,197.895,197.963,197.527,0.436,45.1,0.448,0.231,1.743,1.857,2.611
310,Oregon State,PAC12,2015,12,196.775,196.065,196.522,-0.457,14.6,1.459,2.265,1.25,0.178,1000.0
311,Penn State,Big10,2015,22,196.665,196.235,196.154,0.081,10.8,2.269,2.115,2.346,2.774,8.27
312,Pennsylvania,GEC,2015,57,193.19,191.965,192.925,-0.96,0.0,2.236,2.706,2.73,2.447,8.22
313,Pittsburgh,EAGL,2015,51,194.16,193.3,193.232,0.068,1.5,3.289,2.855,2.154,2.239,1000.0
314,Rhode Island College,NaN,2015,82,178.12,177.275,176.391,0.884,0.0,0.149,0.988,0.551,0.193,1.987
315,Rutgers,Big10,2015,46,194.735,194.725,193.833,0.892,1.0,1.954,2.433,2.962,2.583,9.54
316,S.E. Missouri,MIC,2015,56,193.5,193.155,192.664,0.491,0.3,3.074,2.706,2.131,2.662,10.726
317,Sacramento State,MPSF,2015,48,194.51,194.34,193.932,0.408,0.0,3.252,3.234,3.006,2.77,11.047
318,San Jose State,MPSF,2015,41,194.975,194.531,194.591,-0.06,1.0,3.014,3.338,2.083,2.603,8.994
319,Southern Conn.,GEC,2015,70,190.81,190.863,189.647,1.216,0.4,2.445,2.097,3.446,2.517,1000.0
320,Springfield College,NaN,2015,75,186.205,185.508,185.621,-0.113,0.0,2.258,3.131,2.883,2.144,9.159
321,Stanford,PAC12,2015,5,197.12,196.917,196.241,0.676,23.6,-0.038,0.071,5.085,5.053,10.233
322,Temple,EAGL,2015,66,190.93,190.8,189.503,1.297,0.0,3.064,2.606,3.282,2.407,10.244
323,Texas Woman's,MIC,2015,59,193.74,193.625,191.803,1.822,1.8,2.326,3.151,3.476,2.792,10.101
324,Towson,EAGL,2015,43,194.905,194.675,194.236,0.439,2.0,2.373,2.938,2.167,2.263,9.15
325,UC Davis,MPSF,2015,39,195.085,195.08,194.082,0.998,3.1,2.566,2.721,2.998,2.991,10.151
326,UCLA,Pac12,2015,11,197.29,196.955,196.697,0.258,25.5,1.733,2.594,3.602,2.191,10.725
327,Ursinus College,NaN,2015,69,190.86,190.169,189.738,0.431,0.0,1.766,2.78,2.412,2.459,9.898
328,Utah,Pac12,2015,2,197.865,197.612,197.222,0.39,36.2,2.392,2.382,2.179,2.453,9.39
329,Utah State,MRGC,2015,30,195.57,194.87,195.228,-0.358,0.0,1000.0,2.532,2.803,1000.0,1000.0
330,UW-Eau Claire,NaN,2015,79,184.155,183.342,183.375,-0.033,0.0,2.672,3.295,2.598,2.547,12.467
331,UW-La Crosse,NaN,2015,73,187.895,187.115,187.171,-0.056,0.0,2.524,2.972,2.448,3.106,10.353
332,UW-Oshkosh,NaN,2015,80,183.93,183.225,183.492,-0.267,0.0,2.657,3.129,1.212,4.337,12.516
333,UW-Stout,NaN,2015,77,185.055,182.244,183.404,-1.16,0.0,2.138,2.642,3.306,3.637,10.028
334,UW-Whitewater,NaN,2015,71,190.625,190.283,188.786,1.497,0.0,2.61,3.123,2.582,2.498,9.408
335,Washington,PAC12,2015,34,196.03,195.405,195.536,-0.131,5.2,2.293,2.72,2.186,2.622,9.622
336,West Chester,GEC,2015,65,191.1,191.344,189.471,1.873,0.0,3.115,3.449,3.073,3.431,1000.0
337,West Virginia,Big12,2015,28,195.48,195.325,194.854,0.471,3.8,2.932,2.479,2.29,2.611,11.083
338,Western Michigan,MAC,2015,40,195.06,194.544,194.363,0.181,0.8,1.833,3.134,2.199,2.318,9.375
339,William & Mary,GEC,2015,54,193.77,194.275,192.709,1.566,1.2,0.242,1.524,1.443,0.4,1000.0
340,Winona State,NaN,2015,76,185.955,183.6,184.958,-1.358,0.0,1000.0,0.258,1.399,1.066,1000.0
341,Yale,GEC,2015,63,191.885,191.2,191.281,-0.081,0.4,2.248,2.374,2.601,2.558,9.386
342,Seattle Pacific,NaN,2015,58,193.365,191.267,192.125,-0.858,0.3,2.991,3.272,2.955,3.218,12.905
343,UIC,NaN,2015,60,192.64,191.75,191.354,0.396,0.0,2.146,1.731,1.653,2.803,1000.0
344,Air Force,MPSF,2016,63,191.925,190.77,190.82,-0.05,0.0,2.427,1.945,1.992,2.861,7.79
345,Alabama,SEC,2016,3,197.455,197.067,197.117,-0.05,23.7,2.493,2.554,1.282,2.308,10.068
346,Alaska,MPSF,2016,60,192.605,192.717,191.996,0.721,0.0,2.374,1.966,2.455,2.33,1000.0
347,Arizona,Pac12,2016,21,196.18,196.255,195.414,0.841,2.8,2.449,2.443,4.385,4.127,1000.0
348,Arizona State,Pac12,2016,51,193.905,193.695,193.113,0.582,3.8,2.425,2.725,2.382,2.522,9.433
349,Arkansas,SEC,2016,20,196.575,196.64,196.041,0.599,8.3,2.894,2.301,2.573,2.941,1000.0
350,Auburn,SEC,2016,11,197.15,196.765,196.456,0.309,14.3,2.438,2.823,2.519,2.105,1000.0
351,Ball State,MAC,2016,44,194.81,194.415,193.561,0.854,2.4,2.797,3.0,2.424,2.802,11.462
352,Boise State,MRGC,2016,16,196.57,196.806,196.175,0.631,12.4,2.718,2.802,2.217,2.493,8.805
353,Bowling Green,2763,2016,36,195.455,195.135,194.294,0.841,3.0,1.727,1.623,2.531,1.912,1000.0
354,Bridgeport,GEC,2016,46,195.035,194.494,194.052,0.442,3.2,2.253,3.214,2.518,2.587,1000.0
355,Brockport,NaN,2016,66,190.48,189.215,188.096,1.119,0.0,2.413,3.588,2.719,2.786,9.416
356,Brown,GEC,2016,53,194.015,193.042,192.955,0.087,0.6,2.674,1.968,3.138,3.141,1000.0
357,BYU,MRGC,2016,34,195.55,195.458,194.803,0.655,3.1,2.056,2.188,2.549,3.337,1000.0
358,California,Pac12,2016,7,196.77,196.65,195.989,0.661,9.9,3.286,4.509,2.742,3.378,1000.0
359,Centenary College,MIC,2016,71,189.76,190.242,187.422,2.82,0.3,0.239,1.268,5.094,0.639,1000.0
360,Central Michigan,MAC,2016,33,195.44,194.81,194.944,-0.134,6.4,2.247,2.473,2.535,2.479,9.799
361,Cornell,GEC,2016,56,193.175,191.658,192.759,-1.101,0.7,2.705,3.407,2.223,2.278,9.414
362,Cortland State,NaN,2016,73,187.625,187.475,186.336,1.139,0.0,0.76,3.284,0.978,0.998,6.141
363,Denver,Big12,2016,15,196.725,196.41,196.272,0.138,11.7,2.219,2.35,2.114,2.309,1000.0
364,Eastern Michigan,MAC,2016,17,196.16,195.594,195.572,0.022,5.8,3.143,2.044,2.6,2.871,12.092
365,Florida,SEC,2016,4,197.795,197.845,197.206,0.639,37.2,2.98,2.387,1.563,2.42,9.096
366,George Washington,EAGL,2016,24,195.905,195.725,195.616,0.109,6.4,2.738,3.242,2.447,2.489,10.836
367,Georgia,SEC,2016,6,197.025,196.758,196.384,0.374,21.1,2.716,3.222,2.552,2.384,11.448
368,Gustavus Adolphus,NaN,2016,81,182.01,179.658,181.075,-1.417,0.0,2.205,2.295,2.062,2.163,8.72
369,Hamline,NaN,2016,79,183.095,182.144,181.97,0.174,0.0,1.442,1.385,1.722,1.858,3.708
370,Illinois,Big10,2016,25,195.87,195.556,195.55,0.006,8.3,2.367,2.58,2.178,2.643,1000.0
371,Illinois State,MIC,2016,61,192.63,192.275,191.579,0.696,1.0,2.582,2.67,2.687,1.914,11.177
372,Iowa,Big10,2016,23,196.33,195.308,195.566,-0.258,5.9,3.047,1.97,1.676,4.11,9.761
373,Iowa State,Big12,2016,38,195.35,195.39,194.657,0.733,3.6,2.844,2.835,2.344,2.682,9.444
374,Ithaca College,NaN,2016,78,184.665,184.238,185.2,-0.962,0.0,3.15,2.279,1.808,3.203,1000.0
375,Kent State,MAC,2016,32,195.595,195.67,194.614,1.056,7.3,3.445,2.914,2.407,1000.0,1000.0
376,Kentucky,SEC,2016,22,196.205,195.765,195.759,0.006,4.4,2.396,2.218,2.563,2.195,8.688
377,Lindenwood,MIC,2016,49,194.73,194.454,193.056,1.398,1.7,1000.0,0.721,0.932,0.527,1000.0
378,LSU,SEC,2016,2,197.7,197.34,197.188,0.152,33.9,2.922,2.306,1.942,3.998,11.636
379,Maryland,Big10,2016,39,195.235,194.9,194.614,0.286,0.7,2.084,4.041,3.067,3.491,1000.0
380,Michigan,Big10,2016,13,197.13,197.008,196.779,0.229,22.6,3.054,2.605,2.875,2.945,9.569
381,Michigan State,Big10,2016,28,195.42,194.312,195.133,-0.821,4.1,2.275,2.415,2.102,2.742,8.912
382,Minnesota,BIG10,2016,12,196.495,195.658,196.286,-0.628,11.6,2.267,2.419,2.562,2.505,1000.0
383,Missouri,SEC,2016,19,196.24,196.095,195.722,0.373,7.9,3.401,3.006,3.058,3.47,11.884
384,Nebraska,Big10,2016,8,196.715,196.558,195.889,0.669,12.1,2.342,2.893,2.254,2.966,9.756
385,North Carolina State,EAGL,2016,37,195.375,195.9,194.867,1.033,4.5,2.416,2.663,2.985,2.616,10.239
386,Northern Illinois,MAC,2016,45,194.78,194.388,194.238,0.15,1.7,3.821,4.451,3.018,2.832,1000.0
387,Ohio State,Big10,2016,29,195.885,195.619,195.278,0.341,3.1,2.623,3.307,2.888,2.906,10.885
388,Oklahoma,Big12,2016,1,197.922,197.67,197.576,0.094,39.8,1.51,1.692,2.444,1.04,8.203
389,Oregon State,PAC12,2016,14,196.575,196.255,196.071,0.184,8.9,2.825,2.486,2.068,2.377,8.747
390,Penn State,Big10,2016,26,195.96,195.19,195.754,-0.564,8.4,2.779,2.491,2.587,2.948,9.888
391,Pennsylvania,GEC,2016,64,191.79,191.212,191.397,-0.185,0.4,2.357,2.556,2.593,2.585,1000.0
392,Pittsburgh,EAGL,2016,48,194.53,194.065,193.264,0.801,4.7,2.231,2.036,2.253,2.245,1000.0
393,Rhode Island College,NaN,2016,82,177.69,178.588,177.121,1.467,0.0,2.316,2.714,1.863,2.531,10.681
394,Rutgers,Big10,2016,43,194.93,194.156,194.116,0.04,1.4,2.24,2.974,2.595,2.343,9.075
395,S.E. Missouri,MIC,2016,55,193.275,193.255,192.281,0.974,0.6,1.498,2.034,2.394,2.221,8.882
396,Sacramento State,MPSF,2016,40,195.185,195.065,194.542,0.523,3.7,1.747,3.04,1.626,1.761,1000.0
397,San Jose State,MPSF,2016,46,194.74,193.33,194.675,-1.345,0.4,2.196,2.32,2.203,2.703,2.106
398,Southern Conn.,GEC,2016,70,190.05,188.412,189.188,-0.776,0.0,1.395,1000.0,1.786,2.011,1000.0
399,Southern Utah,MRGC,2016,27,196.05,195.77,195.457,0.313,5.2,1.42,1.886,2.424,2.945,13.264
400,Springfield College,NaN,2016,75,185.75,185.112,184.92,0.192,0.0,0.277,2.184,1.437,1.875,3.449
401,Stanford,PAC12,2016,10,196.445,196.1,196.142,-0.042,14.0,2.094,1.931,2.937,2.405,1000.0
402,Temple,EAGL,2016,66,191.625,190.838,190.786,0.052,0.0,2.178,1.614,2.943,3.204,1000.0
403,Texas Woman's,MIC,2016,59,193.015,192.113,192.114,-0.001,0.0,2.679,3.165,4.193,3.429,1000.0
404,Towson,EAGL,2016,50,194.285,194.2,193.428,0.772,1.9,2.43,2.813,2.672,2.697,9.602
405,UC Davis,MPSF,2016,42,195.045,194.988,194.0,0.988,1.9,2.639,2.082,2.382,2.705,1000.0
406,UCLA,Pac12,2016,5,197.06,196.963,196.591,0.372,20.9,1.974,1.614,1.752,2.091,1000.0
407,Ursinus College,NaN,2016,72,187.795,188.575,187.192,1.383,0.0,2.744,1000.0,1000.0,2.69,1000.0
408,Utah,Pac12,2016,9,197.205,196.896,196.884,0.012,22.0,2.872,3.661,2.412,3.772,13.205
409,Utah State,MRGC,2016,30,195.525,194.92,195.186,-0.266,2.4,2.647,2.887,2.513,2.92,10.944
410,UW-Eau Claire,NaN,2016,77,184.945,184.108,185.096,-0.988,0.0,2.899,2.708,2.239,2.442,1000.0
411,UW-La Crosse,NaN,2016,68,190.45,189.219,189.021,0.198,0.4,2.648,3.264,1000.0,3.3,1000.0
412,UW-Oshkosh,NaN,2016,76,185.035,185.267,183.196,2.071,0.0,0.305,1.098,1.615,0.125,1000.0
413,UW-Stout,NaN,2016,80,182.62,181.158,182.463,-1.305,0.5,2.145,1.004,1.653,0.391,2.785
414,UW-Whitewater,NaN,2016,69,190.39,189.55,189.489,0.061,0.0,2.366,3.168,1.926,2.966,9.141
415,Washington,PAC12,2016,18,196.36,195.454,195.593,-0.139,5.4,1000.0,4.238,2.328,1000.0,1000.0
416,West Chester,GEC,2016,65,191.745,191.95,190.629,1.321,0.0,1000.0,1000.0,4.205,3.086,1000.0
417,West Virginia,Big12,2016,31,195.94,195.985,195.197,0.788,6.7,2.436,2.588,2.542,2.55,9.64
418,Western Michigan,MAC,2016,41,195.095,194.858,194.213,0.645,1.0,1.824,2.48,2.175,3.166,9.124
419,William & Mary,GEC,2016,57,192.88,191.983,191.347,0.636,0.0,3.385,2.383,3.098,3.0,1000.0
420,Winona State,NaN,2016,74,186.395,184.542,185.244,-0.702,0.4,1.259,1.842,2.477,2.336,9.348
421,Yale,GEC,2016,62,192.165,190.825,191.689,-0.864,0.0,1.786,2.369,2.281,2.005,7.21
422,Seattle Pacific,NaN,2016,54,193.87,191.662,192.535,-0.873,1.2,2.451,3.165,2.154,2.33,1000.0
423,UIC,NaN,2016,58,192.815,192.158,192.003,0.155,0.4,2.145,2.802,2.988,2.036,11.29
424,Air Force,MPSF,2017,57,193.68,192.519,192.853,-0.334,0.0,2.322,2.39,2.513,2.431,1000.0
425,Alabama,SEC,2017,6,197.455,197.26,196.748,0.512,23.9,1.651,3.873,1.43,1.722,11.41
426,Alaska,MPSF,2017,68,191.175,190.356,190.304,0.052,0.8,3.34,3.713,3.558,4.381,15.134
427,Arizona,Pac12,2017,26,195.88,195.345,195.411,-0.066,6.1,2.336,2.16,2.807,2.157,1000.0
428,Arizona State,Pac12,2017,41,195.145,194.56,194.183,0.377,0.4,2.159,2.325,2.906,2.902,1000.0
429,Arkansas,SEC,2017,19,195.885,195.667,195.385,0.282,5.0,2.65,2.431,2.334,2.742,9.592
430,Auburn,SEC,2017,15,196.36,195.965,195.944,0.021,6.6,1.406,1.381,2.003,0.905,8.296
431,Ball State,MAC,2017,43,194.975,194.594,194.475,0.119,1.7,0.279,2.06,2.384,1.593,1000.0
432,Boise State,MRGC,2017,13,196.91,197.133,196.447,0.686,16.2,1.419,1.765,2.183,1.853,4.704
433,Bowling Green,2763,2017,46,194.75,194.729,193.489,1.24,2.3,2.403,2.724,2.723,2.7,10.644
434,Bridgeport,GEC,2017,51,194.88,194.363,194.029,0.334,6.1,3.164,3.306,2.463,3.665,11.514
435,Brockport,NaN,2017,66,191.42,191.275,188.869,2.406,0.3,2.779,1.9,2.95,1.585,1000.0
436,Brown,GEC,2017,60,193.34,192.381,192.689,-0.308,0.3,2.402,2.285,3.789,3.889,1000.0
437,BYU,MRGC,2017,33,195.495,195.56,194.688,0.872,3.2,2.244,2.57,2.296,2.586,10.516
438,California,Pac12,2017,16,196.515,196.3,196.057,0.243,8.3,2.566,2.021,2.399,2.771,1000.0
439,Centenary College,MIC,2017,70,190.475,190.567,188.375,2.192,0.0,2.793,2.218,2.652,1.965,10.235
440,Central Michigan,MAC,2017,25,195.91,195.042,195.104,-0.062,9.7,0.4,2.937,3.939,3.637,1000.0
441,Cornell,GEC,2017,55,194.235,192.875,193.534,-0.659,1.7,2.461,2.988,4.027,2.905,11.98
442,Cortland State,NaN,2017,74,188.255,187.925,185.663,2.262,0.0,0.382,1000.0,0.46,1000.0,1000.0
443,Denver,Big12,2017,9,197.075,196.95,196.37,0.58,14.0,2.019,2.389,2.705,2.912,8.733
444,Eastern Michigan,MAC,2017,27,195.97,194.995,195.506,-0.511,5.5,4.011,3.617,3.142,3.061,14.038
445,Florida,SEC,2017,3,197.787,197.65,197.364,0.286,34.3,1.929,1.888,2.735,1.174,10.722
446,George Washington,EAGL,2017,23,196.34,196.044,195.906,0.138,4.7,3.251,1000.0,2.488,2.761,1000.0
447,Georgia,SEC,2017,12,197.005,196.875,196.263,0.612,16.5,0.273,1.059,2.97,2.826,2.342
448,Gustavus Adolphus,NaN,2017,81,184.85,183.513,183.021,0.492,0.0,5.398,2.482,3.237,3.657,14.819
449,Illinois,Big10,2017,21,196.365,196.062,195.807,0.255,7.7,2.734,2.556,3.109,2.806,11.148
450,Illinois State,MIC,2017,58,193.51,193.2,192.988,0.212,1.1,2.771,3.14,2.039,2.179,10.675
451,Iowa,Big10,2017,18,196.51,195.908,195.753,0.155,8.8,0.21,1.631,0.799,0.888,1.801
452,Iowa State,Big12,2017,29,195.75,194.96,195.522,-0.562,5.1,1000.0,2.128,1.75,1.697,1000.0
453,Ithaca College,NaN,2017,77,187.235,185.75,186.288,-0.538,0.0,1000.0,1.713,2.558,2.266,1000.0
454,Kent State,MAC,2017,34,195.72,195.625,194.854,0.771,7.2,2.309,3.05,2.524,2.73,1000.0
455,Kentucky,SEC,2017,14,196.845,196.695,196.134,0.561,12.8,3.801,2.744,2.959,3.453,11.29
456,Lindenwood,MIC,2017,50,194.9,194.506,193.597,0.909,2.0,1.736,2.729,2.83,2.726,10.587
457,LSU,SEC,2017,2,197.963,197.787,197.74,0.047,43.5,1000.0,2.6,1000.0,3.258,1000.0
458,Maryland,Big10,2017,37,195.41,194.64,194.566,0.074,2.5,2.603,2.661,1.984,2.326,7.092
459,Michigan,Big10,2017,10,197.31,197.37,196.502,0.868,23.4,1.736,1.79,1.768,2.38,9.17
460,Michigan State,Big10,2017,40,195.155,194.79,194.454,0.336,4.8,1.177,0.008,0.194,1.512,0.362
461,Minnesota,BIG10,2017,30,195.555,195.435,194.829,0.606,5.9,2.526,2.419,3.11,2.53,1000.0
462,Missouri,SEC,2017,17,196.54,196.36,196.075,0.285,10.9,2.201,2.473,2.636,2.613,10.821
463,Nebraska,Big10,2017,7,196.88,196.581,196.164,0.417,13.9,3.07,2.735,2.701,2.845,9.5
464,New Hampshire,EAGL,2017,35,195.745,195.825,194.786,1.039,3.3,2.683,2.371,2.4,2.502,1000.0
465,North Carolina,EAGL,2017,36,195.43,195.267,194.606,0.661,4.5,2.74,2.558,2.305,3.069,7.624
466,North Carolina State,EAGL,2017,44,194.82,195.146,193.683,1.463,2.9,2.448,2.38,2.417,2.152,10.92
467,Northern Illinois,MAC,2017,39,195.26,194.912,194.429,0.483,4.4,2.364,2.636,2.777,2.538,9.212
468,Ohio State,Big10,2017,24,195.86,195.68,195.546,0.134,4.1,2.211,2.314,2.221,2.265,9.251
469,Oklahoma,Big12,2017,1,198.14,197.781,197.942,-0.161,50.3,3.448,2.966,2.018,2.752,9.574
