,Name,School,L10_High_FX,L10_Ave_FX,Freshman,NCAA_High_FX,NCAA_Ave_FX,FX_nqs
0,Natalie Wojcik,Michigan,9.85,7.454375,2019,9.975,9.805,9.95
1,Jordan Bowers,Oklahoma,9.875,7.4892857142857165,2022,9.9625,9.912,9.95
