,Name,School,L10_High_FX,L10_Ave_FX,Freshman,NCAA_High_FX,NCAA_Ave_FX,FX_nqs,FX_delta
632,Amanda Cashman,Georgia,9.725,7.377884615384616,2021,9.875,9.708,9.675,0.15
633,Emily Shepard,North Carolina State,9.5,6.384821428571429,2021,9.925,9.835,9.905,0.425
634,Zoe Schweitzer,Ohio State,9.725,5.35,2021,0.0,0.0,0.0,-9.725
635,Callie Schlottman,Denver,9.525,7.250000000000001,2021,9.625,9.625,0.0,0.1
636,Lauren Bolen,Towson,9.55,7.490909090909092,2021,9.85,9.744,9.825,0.3
637,Cassidy Rushlow,Penn State,9.75,6.783823529411764,2021,9.875,9.693,9.855,0.125
638,Kylie Gorgenyi,New Hampshire,9.6,7.095909090909092,2021,9.85,9.687,9.82,0.25
639,Amaya Marshall,Missouri,9.7,7.617045454545455,2021,9.875,9.789,9.83,0.175
640,Taylor Jensen,Bowling Green,9.625,6.914814814814814,2021,9.925,9.653,9.875,0.3
641,Natalie Sadighi,California,9.675,7.142647058823529,2021,0.0,0.0,0.0,-9.675
642,Piper Smith,Auburn,9.55,7.192307692307692,2021,9.675,9.675,0.0,0.125
643,Allix Mason,BYU,9.575,6.967857142857143,2021,0.0,0.0,0.0,-9.575
644,Halle Remlinger,Minnesota,9.625,7.402586206896553,2021,9.95,9.907,9.925,0.325
645,Adriana Popp,Boise State,9.725,7.453846153846153,2021,9.925,9.797,9.88,0.2
646,Charlotte Tishkoff,Western Michigan,9.675,6.7890625,2021,9.625,9.625,0.0,-0.05
647,Alivia Ostendorf,Ball State,9.6,6.543939393939392,2021,9.875,9.729,9.835,0.275
648,Sienna Schreiber,Missouri,9.675,6.807894736842105,2021,9.9,9.805,9.882,0.225
649,Jenna Weitz,Towson,10.0,6.824999999999998,2021,9.9,9.736,9.855,-0.1
650,Hannah Nam,North Carolina,9.625,7.322916666666666,2021,9.875,9.748,9.845,0.25
651,Madison Brooks,Temple,9.55,5.85,2021,0.0,0.0,0.0,-9.55
652,Daisy Woodring,Texas Woman's,9.65,7.450000000000003,2021,9.825,9.672,9.77,0.175
653,Molly Maxwell,S.E. Missouri,9.7,7.403125000000001,2021,9.85,9.604,9.79,0.15
654,Ariel Toomey,Utah State,9.6,7.439999999999999,2021,9.85,9.72,9.83,0.25
655,Jacy Whitehead,New Hampshire,9.65,6.796296296296296,2022,0.0,0.0,0.0,-9.65
656,Makenna Clarke,Kentucky,9.775,6.4947368421052625,2021,9.875,9.803,9.815,0.1
657,Avery Stauffacher,Arizona,9.575,6.8395161290322575,2021,0.0,0.0,0.0,-9.575
658,Soraya Hawthorne,Georgia,9.725,7.235344827586207,2021,9.975,9.87,9.925,0.25
659,Ashley Veglucci,Central Michigan,9.775,7.457142857142857,2021,9.875,9.73,9.875,0.1
660,Emma Silberman,Maryland,9.7,7.406250000000001,2021,9.85,9.677,9.81,0.15
661,Jordyn Jaslow,Arizona State,9.775,6.789,2021,9.875,9.823,9.84,0.1
662,Lindsey Moffitt,S.E. Missouri,9.725,6.5,2021,9.825,9.671,9.64,0.1
663,Sydney Lopez,Lindenwood,9.625,6.086666666666666,2021,9.85,9.645,9.815,0.225
664,Joanna Chambers,Bridgeport,9.6,7.202500000000001,2022,9.625,9.125,0.0,0.025
665,Kyla Podges,Texas Woman's,9.625,6.8203703703703695,2021,0.0,0.0,0.0,-9.625
666,Cameron Kelperis,San Jose State,9.55,7.3875,2021,9.9,9.803,9.865,0.35
667,Jori Jackard,Michigan State,9.625,5.778846153846152,2021,0.0,0.0,0.0,-9.625
668,Emma Ingrassia,Southern Utah,9.575,7.137037037037037,2021,8.45,8.45,0.0,-1.125
669,Larissa Biette,New Hampshire,9.4,6.6760416666666655,2021,9.775,9.713,9.725,0.375
670,Camille Vitoff,Towson,9.5,6.152272727272728,2021,9.85,9.6,9.665,0.35
671,Ella Poley,Brown,9.525,6.310256410256409,2022,9.5,9.1,0.0,-0.025
672,Hadley Hamar,Utah State,9.55,6.7592592592592595,2021,9.75,9.725,0.0,0.2
673,Aubrey Nick,Iowa,9.5,6.854310344827585,2021,0.0,0.0,0.0,-9.5
674,Madeline Tyau,Southern Utah,9.45,6.376388888888889,2022,0.0,0.0,0.0,-9.45
675,Gayla Griswold,Lindenwood,9.65,7.641911764705884,2021,9.9,9.725,9.89,0.25
676,Taylor Waldo,Ball State,9.475,6.767441860465116,2021,9.875,9.738,9.815,0.4
677,Julia Waight,Illinois,9.45,6.517857142857143,2021,9.325,9.087,0.0,-0.125
678,Allyson Steffensmeier,Iowa,9.6,6.3296875,2021,0.0,0.0,0.0,-9.6
679,Anna Sumner,Auburn,9.6,6.811538461538461,2021,0.0,0.0,0.0,-9.6
680,Aleka Tsiknias,Maryland,9.65,7.37625,2021,9.85,9.497,9.745,0.2
681,Audrey Kaufman,UW-La Crosse,9.425,7.220454545454546,2021,9.225,9.113,0.0,-0.2
682,Julianna Weil,North Carolina,9.75,7.5200000000000005,2021,9.825,9.494,9.79,0.075
683,Amy Stewart,Towson,9.45,7.086363636363638,2021,9.95,9.826,9.885,0.5
684,Cameryn Nichols,Ithaca College,9.675,7.767857142857144,2022,0.0,0.0,0.0,-9.675
685,Kaitlyn Bertola,Rutgers,9.3,6.275892857142858,2022,0.0,0.0,0.0,-9.3
686,Ciara Ward,Pittsburgh,9.75,7.296052631578947,2021,9.775,8.965,0.0,0.025
687,Maya Ford,Iowa State,9.075,3.9961538461538466,2022,0.0,0.0,0.0,-9.075
688,Taylor Pitchell,Central Michigan,9.725,7.4559523809523816,2021,9.95,9.775,9.88,0.225
689,Katherine Shek,George Washington,9.275,6.114393939393939,2021,0.0,0.0,0.0,-9.275
690,Annie Corbett,Gustavus Adolphus,9.45,6.513513513513516,2021,9.45,9.27,0.0,0.0
691,Lexi Powe,Illinois,9.55,6.593749999999999,2021,0.0,0.0,0.0,-9.55
692,Beth Lazarus,Texas Woman's,9.175,7.13125,2022,0.0,0.0,0.0,-9.175
693,Christin Bandy,Illinois State,9.525,6.9319999999999995,2021,0.0,0.0,0.0,-9.525
694,Hailey Vultaggio,Southern Utah,9.45,7.46590909090909,2021,9.925,9.673,9.835,0.475
695,Shruthi Anand,North Carolina State,8.45,5.632352941176471,2022,0.0,0.0,0.0,-8.45
696,Mina Margraf,BYU,9.65,6.918749999999999,2022,0.0,0.0,0.0,-9.65
697,Gabby McLaughlin,Auburn,9.475,9.475,2021,9.775,9.733,0.0,0.3
698,Maya Albertin,Minnesota,9.7,6.84814814814815,2021,0.0,0.0,0.0,-9.7
699,Tori Loomis,Michigan State,9.3,9.3,2022,0.0,0.0,0.0,-9.3
700,Amber Boll,Air Force,9.15,6.795312499999999,2022,0.0,0.0,0.0,-9.15
701,Bella Salcedo,Penn State,9.575,9.46875,2022,9.95,9.885,9.915,0.375
702,Erin Hutchison,Pittsburgh,9.625,6.850735294117647,2022,9.85,9.768,9.81,0.225
703,Sophie Silverstein,North Carolina,9.3,4.978571428571429,2021,0.0,0.0,0.0,-9.3
704,Christina Leikam,UW-Eau Claire,9.0,6.970000000000001,2021,0.0,0.0,0.0,-9.0
705,Jolie Miller,S.E. Missouri,9.2,3.681250000000001,2021,0.0,0.0,0.0,-9.2
706,Jenna Dunn,Oklahoma,9.575,6.75328947368421,2021,0.0,0.0,0.0,-9.575
707,Leilani Johnson,Centenary College,9.5,6.951666666666667,2021,9.7,9.193,9.49,0.2
708,McKenzie Eddy,Illinois,9.475,6.829166666666667,2022,0.0,0.0,0.0,-9.475
709,Rhea Leblanc,Maryland,9.45,7.375000000000001,2022,9.825,9.503,9.695,0.375
710,Amanda Loo,LIU,9.7,7.352173913043477,2021,9.925,9.639,9.835,0.225
711,Riley Daniels,Lindenwood,9.425,6.258928571428572,2021,9.8,9.413,0.0,0.375
712,Kyra Figurelli,Brockport,8.95,7.266071428571429,2022,9.9,9.65,9.74,0.95
713,Lindsey Thornton,Ursinus College,9.3,7.021666666666666,2022,9.5,9.5,0.0,0.2
714,Alison Silva,Rhode Island College,9.15,6.28125,2022,0.0,0.0,0.0,-9.15
715,Ava Boyd,Southern Conn.,9.8,6.729166666666667,2022,9.625,9.402,9.515,-0.175
716,Callie Morris,Springfield College,9.4,7.04342105263158,2022,0.0,0.0,0.0,-9.4
717,Lauren Lazaro,Brown,9.475,5.965277777777778,2022,9.775,9.642,9.71,0.3
718,Alyssa Worthington,New Hampshire,9.475,6.313235294117646,2021,9.9,9.598,9.82,0.425
719,Jenna Devincenzo,New Hampshire,9.275,6.204999999999999,2021,0.0,0.0,0.0,-9.275
720,Logan Clagg,UC Davis,9.65,7.115131578947371,2022,9.075,9.062,0.0,-0.575
721,Sirena Linton,Arizona,9.675,5.345833333333334,2021,0.0,0.0,0.0,-9.675
722,Kenadi Brown,New Hampshire,9.575,7.867307692307692,2021,9.9,9.785,9.835,0.325
723,Elease Rollins,BYU,9.275,6.0914062499999995,2021,0.0,0.0,0.0,-9.275
724,Maya Green,California,9.6,5.612500000000001,2021,9.875,9.838,0.0,0.275
725,Alexa Solomon,San Jose State,9.675,6.8805555555555555,2021,0.0,0.0,0.0,-9.675
726,Thea Michovsky,UC Davis,9.45,7.287999999999999,2022,0.0,0.0,0.0,-9.45
727,Paige Hogan,UCLA,9.675,5.736111111111111,2021,9.45,9.45,0.0,-0.225
728,Erin Morden,Boise State,9.125,5.616071428571429,2021,9.2,9.2,0.0,0.075
729,Katy Koopman,LIU,9.025,8.808333333333334,2021,9.8,9.53,9.775,0.775
730,Abby Mueller,Illinois,9.65,9.65,2021,9.925,9.788,9.875,0.275
731,Emma Brown,Ursinus College,9.8,6.745833333333334,2019,9.825,9.714,0.0,0.025
732,Tisana Lowe,Hamline,9.1,6.196428571428571,2021,9.5,9.5,0.0,0.4
733,Katie Saladin,UW-La Crosse,9.05,4.420833333333333,2021,9.0,8.475,0.0,-0.05
734,Madeline Sowinski,Hamline,9.35,5.757352941176471,2021,9.675,9.28,9.525,0.325
735,Lauryn Stiff,Centenary College,9.25,7.266666666666667,2021,9.475,9.237,9.19,0.225
736,Haley Volstad,UW-Oshkosh,9.15,1.83,2021,9.475,9.381,0.0,0.325
737,Emma Esteb,Gustavus Adolphus,9.35,6.919230769230769,2021,9.425,9.179,9.3,0.075
738,Raina Albores,Kentucky,9.625,6.247115384615386,2021,9.9,9.775,9.765,0.275
739,Ella Burgess,Alabama,9.625,7.218749999999998,2022,0.0,0.0,0.0,-9.625
740,Morgan Leigh Oldham,Auburn,9.65,7.319791666666666,2021,9.8,9.622,9.725,0.15
741,Lily Harsch,Bowling Green,9.725,5.503676470588236,2021,9.825,9.42,0.0,0.1
742,Kennedy Springer,UW-Oshkosh,9.45,6.747916666666667,2022,9.75,9.7,0.0,0.3
743,Brianna Greenlow,North Carolina,9.55,7.157407407407408,2021,9.875,9.722,9.84,0.325
744,Loulie Hattaway,Georgia,9.35,6.709821428571429,2022,0.0,0.0,0.0,-9.35
745,Grace Hunter,North Carolina State,9.05,6.29375,2021,0.0,0.0,0.0,-9.05
746,Savana Kotas,Central Michigan,9.225,6.069999999999999,2021,0.0,0.0,0.0,-9.225
747,Leia Randall,UW-Oshkosh,9.125,6.357142857142858,2021,0.0,0.0,0.0,-9.125
748,Payton Richards,Florida,9.675,6.849242424242423,2021,9.925,9.691,9.875,0.25
749,Kiara Gianfagna,Arkansas,9.8,6.354166666666665,2021,0.0,0.0,0.0,-9.8
750,Olivia O'Donnell,Illinois,9.5,3.7199999999999998,2021,9.825,9.772,9.785,0.325
751,Hadyn Crossen,Eastern Michigan,9.575,5.706896551724139,2021,9.875,9.597,9.755,0.3
752,Isabel Redmond,Arizona State,9.675,6.287878787878788,2022,0.0,0.0,0.0,-9.675
753,Karlie Franz,Kent State,9.725,6.308333333333333,2021,9.925,9.783,9.905,0.2
754,Danielle Nosek,Arizona,9.55,7.130000000000002,2021,9.875,9.65,9.8,0.325
755,Olivia Amodei,Kent State,9.6,7.20576923076923,2021,9.925,9.81,9.855,0.325
756,Audriana Hammond,Central Michigan,9.325,7.174999999999999,2021,0.0,0.0,0.0,-9.325
757,Madison Hickey,Arkansas,9.45,6.866666666666667,2021,9.9,9.763,9.865,0.45
758,Faith Mylin,UW-Whitewater,9.5,6.85625,2021,9.8,9.64,9.73,0.3
759,Amanda Gruber,Western Michigan,9.625,7.236999999999997,2022,9.825,9.617,0.0,0.2
760,Paige Casper,Towson,9.65,7.357142857142858,2021,9.9,9.658,9.825,0.25
761,Jenna Jones,UW-Stout,9.225,5.910294117647058,2021,0.0,0.0,0.0,-9.225
762,Arianna Mamelka,Western Michigan,9.225,6.180882352941176,2021,0.0,0.0,0.0,-9.225
763,Brenna Hauser,Central Michigan,9.35,4.585344827586207,2021,0.0,0.0,0.0,-9.35
764,Amanda Jackson,William & Mary,9.3,5.997222222222222,2021,9.45,9.45,0.0,0.15
765,Nya Pauldon,Ithaca College,8.775,5.359375,2022,0.0,0.0,0.0,-8.775
766,Meg McGinley,UW-Whitewater,9.4,6.458333333333333,2021,9.775,9.335,9.6,0.375
767,Gracie Gallagher,Cortland State,8.95,6.8375,2022,0.0,0.0,0.0,-8.95
768,Calista Brady,Cornell,8.625,5.191666666666666,2022,9.9,9.436,9.6,1.275
769,Chloe Bellmore,Michigan State,9.725,7.0257352941176485,2021,0.0,0.0,0.0,-9.725
770,Maddie Griffith,Texas Woman's,9.375,5.866346153846153,2021,0.0,0.0,0.0,-9.375
771,Mayleigh Vanderbeek,Central Michigan,9.6,4.765517241379311,2021,9.45,9.092,0.0,-0.15
772,Adana Amor,UW-Oshkosh,9.025,3.298076923076923,2021,0.0,0.0,0.0,-9.025
773,Kylie Piringer,Nebraska,9.7,6.837162162162163,2021,9.9,9.789,9.87,0.2
774,Ariyana Agarwala,Pennsylvania,9.625,6.572619047619049,2022,9.725,9.7,0.0,0.1
775,Josephine Thomas,Western Michigan,9.525,6.661956521739131,2021,9.575,9.575,0.0,0.05
776,Sarah Penuela-Wermers,Pennsylvania,9.325,7.347916666666666,2022,0.0,0.0,0.0,-9.325
777,Hannah Munnelly,George Washington,9.575,6.830555555555556,2021,0.0,0.0,0.0,-9.575
778,Jordyn Zieden-Weber,Rutgers,9.4,5.39423076923077,2021,0.0,0.0,0.0,-9.4
779,Samantha Kelly,West Chester,8.675,6.466666666666667,2022,0.0,0.0,0.0,-8.675
780,Keaghan Schafer,William & Mary,9.6,6.525833333333333,2021,9.775,9.694,9.77,0.175
781,Kasey Ricci,Ursinus College,9.35,6.008333333333335,2022,9.45,9.119,9.19,0.1
782,Katie Fitzpatrick,Cornell,8.875,5.35921052631579,2022,0.0,0.0,0.0,-8.875
783,Ashley Goeltl,Gustavus Adolphus,9.3,6.713636363636364,2022,0.0,0.0,0.0,-9.3
784,Rose Deshler,Centenary College,9.25,5.01923076923077,2021,9.6,9.256,9.485,0.35
785,Taylor Kish,UW-Eau Claire,8.525,4.8343750000000005,2021,8.25,8.25,0.0,-0.275
786,Karina Sabol,UW-Whitewater,9.75,7.468181818181817,2021,9.6,9.512,0.0,-0.15
787,Mackenzie Barile,Arizona,9.65,5.780714285714287,2021,9.8,9.738,0.0,0.15
788,Briona Carswell,Air Force,9.45,5.919444444444444,2021,9.9,9.729,9.695,0.45
789,Aimee Titche,Yale,9.6,6.473749999999999,2022,9.75,9.579,9.545,0.15
790,Carolanne Van Zandt,Brown,9.25,7.175,2022,9.875,9.467,9.705,0.625
791,Emily Holmes-Hackerd,West Virginia,9.65,6.91875,2021,9.9,9.547,9.88,0.25
792,Sophia Leblanc,Maryland,9.425,7.620833333333334,2021,9.8,9.662,9.635,0.375
793,Dominique Chaves,Springfield College,8.875,6.196428571428571,2022,0.0,0.0,0.0,-8.875
794,Nicoletta Koulos,Michigan,9.8,7.170348837209302,2021,9.9125,9.814,9.88,0.112
795,Erin Elkabchi,Boise State,9.8,6.738281249999999,2021,9.85,9.669,9.77,0.05
796,Ruby Hernandez,Southern Utah,9.6,4.457258064516129,2021,0.0,0.0,0.0,-9.6
797,Samantha Nothnagel,Cortland State,8.55,5.003125,2022,0.0,0.0,0.0,-8.55
798,Jensen Scalzo,Arkansas,9.4,5.534375,2021,0.0,0.0,0.0,-9.4
799,Taiya Stelmachowski,UW-Whitewater,8.75,5.950961538461538,2021,0.0,0.0,0.0,-8.75
800,Kerrie Legault,UW-La Crosse,9.15,4.794642857142857,2021,0.0,0.0,0.0,-9.15
801,Leilani Johnson,Centenary College,9.5,6.951666666666667,2021,9.7,9.193,9.49,0.2
802,Mallory Desch,S.E. Missouri,9.25,7.23409090909091,2021,9.65,9.525,0.0,0.4
803,Madison McCary,Centenary College,9.225,5.879166666666666,2022,0.0,0.0,0.0,-9.225
804,Morgan Bowles,Washington,0.0,0.0,2021,0.0,0.0,0.0,0.0
805,Maya Davis,Brown,9.5,6.176785714285714,2022,9.9,9.5,0.0,0.4
806,Lauren Blair,Brockport,9.425,6.617499999999999,2022,0.0,0.0,0.0,-9.425
807,Bianca Carr,Cortland State,8.875,6.253333333333334,2022,9.625,9.172,9.26,0.75
808,Glynis Curcione,Cortland State,8.5,2.455,2022,0.0,0.0,0.0,-8.5
809,Rachel Swick,Brockport,8.425,5.785714285714286,2022,0.0,0.0,0.0,-8.425
810,Rose Debarberie,Pennsylvania,9.475,9.399999999999999,2022,0.0,0.0,0.0,-9.475
811,Kiah Johnson,West Chester,9.325,6.1359375,2022,9.5,9.5,0.0,0.175
812,Amy Krueger,Cornell,9.325,6.182894736842105,2022,0.0,0.0,0.0,-9.325
813,Shealyn Luksik,Kentucky,9.4,3.888392857142857,2021,0.0,0.0,0.0,-9.4
814,Grace Nelson,Air Force,9.5,4.925000000000001,2021,0.0,0.0,0.0,-9.5
815,Lydia Test,S.E. Missouri,9.525,5.925000000000001,2021,0.0,0.0,0.0,-9.525
816,Kailyn Westbrook,UW-Stout,9.525,6.034722222222221,2021,0.0,0.0,0.0,-9.525
817,Alexa Rothenbuescher,Maryland,9.775,6.863888888888889,2022,9.9,9.8,9.865,0.125
818,Mara Johnson,Texas Woman's,9.45,6.999074074074073,2021,9.9,9.76,9.86,0.45
819,Alyssa DeLorme,Ursinus College,9.05,3.560714285714286,2022,9.75,9.457,9.52,0.7
820,Emma Wiley,William & Mary,9.25,3.4461538461538463,2021,0.0,0.0,0.0,-9.25
821,Kayla Horton,Southern Utah,9.6,6.43076923076923,2021,9.875,9.736,9.835,0.275
822,Celine Barney,Southern Utah,7.2,0.5538461538461539,2021,0.0,0.0,0.0,-7.2
823,Mati Waligora,Alabama,9.6,9.475,2021,9.925,9.829,9.825,0.325
824,Emily Liszewski,Pittsburgh,9.45,6.2328125000000005,2021,9.825,9.553,9.67,0.375
825,Briona Carswell,Air Force,9.45,5.919444444444444,2021,9.9,9.729,9.695,0.45
826,Peyton Gillen,Sacramento State,9.1,6.984999999999999,2022,0.0,0.0,0.0,-9.1
827,Payton Smith,Auburn,9.675,6.713095238095238,2021,0.0,0.0,0.0,-9.675
828,Libby Orman,Arizona,9.6,7.366964285714285,2021,9.9,9.761,9.85,0.3
829,Cate Sandvik,UW-La Crosse,9.4,4.489285714285714,2021,9.725,9.508,9.56,0.325
830,Haley Volstad,UW-Oshkosh,9.15,1.83,2021,9.475,9.381,0.0,0.325
831,Kennedy Stephens,Centenary College,9.2,7.310416666666666,2021,0.0,0.0,0.0,-9.2
832,Bianca Leon,Southern Conn.,9.2,5.497727272727272,2022,9.65,9.5,0.0,0.45
833,Megan Teter,Ball State,9.425,5.778030303030303,2021,9.925,9.658,9.87,0.5
834,Isabelle West,Northern Illinois,9.35,7.300000000000001,2022,0.0,0.0,0.0,-9.35
835,Elizabeth Schauer,Hamline,8.5,8.041666666666668,2021,9.5,9.178,9.22,1.0
836,Christina Weiss,Pittsburgh,9.55,6.5825000000000005,2021,0.0,0.0,0.0,-9.55
837,Abbie Pierson,West Virginia,9.35,5.135714285714286,2021,9.9,9.818,9.9,0.55
838,Jessie Gallier,Winona State,7.2,6.875,2021,0.0,0.0,0.0,-7.2
839,Victoria Nguyen,Georgia,0.0,0.0,2021,9.85,9.85,0.0,9.85
840,Gabbi Gare,Brockport,9.075,6.229545454545454,2022,0.0,0.0,0.0,-9.075
841,Arayah Simons,Illinois,9.75,7.25,2021,9.95,9.55,0.0,0.2
842,Adalayna Hufendiek,Missouri,8.95,4.8999999999999995,2021,0.0,0.0,0.0,-8.95
843,Isa Weiss,Washington,9.175,9.175,2021,9.875,9.477,9.81,0.7
844,Natalie Hamp,Northern Illinois,9.3,4.232692307692308,2021,0.0,0.0,0.0,-9.3
845,Loganne Basuel,Iowa State,9.425,7.198333333333332,2021,0.0,0.0,0.0,-9.425
846,Bella Romagnano,Penn State,9.25,3.6583333333333337,2021,0.0,0.0,0.0,-9.25
847,Raina Malas,Ohio State,9.625,6.812500000000001,2021,9.875,9.475,0.0,0.25
848,Kara Eaker,Utah,9.7,7.494318181818181,2022,9.8,9.8,0.0,0.1
849,Leanne Wong,Florida,9.5,5.968333333333333,2022,9.975,9.921,9.955,0.475
850,Aleah Finnegan,LSU,9.5,6.892857142857145,2022,9.925,9.794,9.885,0.425
851,Adela Stonecipher,Stanford,9.8,6.514166666666666,2021,9.875,9.83,0.0,0.075
852,Maile O'Keefe,Utah,9.825,6.358333333333333,2021,9.9625,9.849,9.945,0.138
853,Kendall Huff,Centenary College,9.45,6.065625000000001,2021,9.725,9.333,9.6,0.275
854,Kylie Yacamelli,Bowling Green,9.35,6.351785714285715,2021,0.0,0.0,0.0,-9.35
855,Ciara Ryan,Northern Illinois,9.35,6.985526315789473,2022,0.0,0.0,0.0,-9.35
856,Jordyn Ewing,Pittsburgh,8.45,8.45,2022,9.875,9.795,9.845,1.425
857,Jackie Harker,Kent State,9.5,6.521428571428571,2021,0.0,0.0,0.0,-9.5
858,Emilie Hong,Iowa State,9.1,8.433333333333334,2021,0.0,0.0,0.0,-9.1
859,Mackenzie Robinson,Alaska,9.15,8.505,2022,9.65,9.33,0.0,0.5
860,Kate Grotenhuis,Minnesota,9.55,4.87,2021,0.0,0.0,0.0,-9.55
861,Raegan Walker,Yale,9.675,6.281666666666667,2022,0.0,0.0,0.0,-9.675
862,Effie Ferguson,UW-Stout,8.85,8.85,2022,9.675,9.446,9.495,0.825
863,Jordan Jones,S.E. Missouri,9.575,4.675,2021,9.875,8.878,9.795,0.3
864,Madison Lieurance,Hamline,8.85,8.85,2021,0.0,0.0,0.0,-8.85
865,Alex Wood,UW-La Crosse,9.225,9.225,2021,9.65,9.464,9.495,0.425
866,Emma Barry,UW-Eau Claire,8.85,8.85,2021,9.575,9.268,9.44,0.725
867,Jenna Griffith,Gustavus Adolphus,9.475,4.0,2021,9.5,9.341,9.35,0.025
868,Lauren Mckeown,Brown,0.0,0.0,2022,0.0,0.0,0.0,0.0
869,Carlie Beatty,UW-Stout,0.0,0.0,2021,9.475,9.261,9.385,9.475
870,Alex Panetta,Ursinus College,7.0,3.5,2022,9.2,9.137,0.0,2.2
871,Jenna Ferguson,Rutgers,9.575,7.7228260869565215,2021,0.0,0.0,0.0,-9.575
872,Nikki Thomas,Southern Utah,9.25,4.992857142857143,2021,0.0,0.0,0.0,-9.25
873,Victoria DeMeo,Cornell,9.25,7.342857142857142,2022,9.825,9.647,9.725,0.575
874,Natalie Wojcik,Michigan,9.85,7.454375,2019,9.975,9.805,9.95,0.125
875,Jaedyn Rucker,Utah,9.875,7.175000000000002,2021,9.95,9.875,9.93,0.075
876,Derrian Gobourne,Auburn,9.8,7.2380434782608685,2019,10.0,9.904,9.967,0.2
877,Karley McClain,Southern Utah,9.825,7.417857142857141,2019,9.925,9.836,9.915,0.1
878,Milan Clausi,California,9.75,7.038829787234043,2019,9.95,9.861,9.92,0.2
879,Olivia Trautman,Oklahoma,9.9,7.715000000000001,2019,10.0,9.949,9.975,0.1
880,Savannah Schoenherr,Florida,9.575,5.767708333333333,2019,9.85,9.819,0.0,0.275
881,Abby Brenner,Michigan,9.8,6.834821428571428,2019,9.95,9.702,9.9,0.15
882,Shylen Murakami,Southern Utah,9.675,7.486000000000001,2019,9.825,9.75,0.0,0.15
883,Cristal Isa,Utah,9.725,7.394444444444446,2019,9.9,9.775,9.865,0.175
884,Adrienne Randall,Utah,9.8,7.590833333333334,2019,9.95,9.817,9.883,0.15
885,Mia Townes,Illinois,9.65,7.7239130434782615,2021,9.925,9.869,9.895,0.275
886,Rachael Lukacs,Georgia,9.875,7.445000000000002,2019,9.925,9.811,9.91,0.05
887,Katie Chamberlain,Pittsburgh,9.7,6.858064516129033,2019,0.0,0.0,0.0,-9.7
888,Hunter Dula,Utah,9.7,6.870000000000001,2019,0.0,0.0,0.0,-9.7
889,Sarah Hargrove,Nebraska,9.7,6.53359375,2019,9.75,9.742,0.0,0.05
890,Leah Clapper,Florida,9.75,6.841216216216215,2019,9.9,9.775,9.825,0.15
891,Halley Taylor,Florida,9.725,7.210156250000001,2021,9.8,9.656,0.0,0.075
892,Emerson Hurst,Towson,9.775,6.8697368421052625,2019,9.8,9.537,9.485,0.025
893,Rachel Hornung,West Virginia,9.575,7.2250000000000005,2019,9.9,9.729,9.83,0.325
894,Olivia Raymond,George Washington,9.675,7.4866666666666655,2019,9.875,9.645,9.79,0.2
895,Talitha Jones,California,9.675,7.217857142857143,2019,0.0,0.0,0.0,-9.675
896,Alisa Sheremeta,UIC,9.7,7.408695652173915,2019,9.95,9.829,9.91,0.25
897,Sekai Wright,UCLA,9.8,7.607142857142857,2019,9.875,9.739,9.86,0.075
898,Vanessa Deniz,Oklahoma,9.675,6.914705882352941,2021,9.925,9.661,9.73,0.25
899,Kaylee Quinn,Nebraska,9.8,6.963709677419353,2019,0.0,0.0,0.0,-9.8
900,Mia Betancourt,Rutgers,9.625,5.957,2019,9.775,9.458,0.0,0.15
901,Olivia Miller,Pittsburgh,9.525,5.9661290322580625,2019,9.85,9.703,9.83,0.325
902,Alexa Al-Hameed,Georgia,9.775,7.93,2019,0.0,0.0,0.0,-9.775
903,Tess Muir,Bowling Green,9.55,7.184027777777776,2019,9.85,8.256,0.0,0.3
904,Bridget Killian,Iowa,9.725,7.466379310344827,2019,9.875,9.767,9.865,0.15
905,Emily North,UW-Whitewater,9.475,7.011904761904762,2019,9.8,9.367,9.725,0.325
906,Kennedy Hambrick,Arkansas,9.75,6.959868421052631,2019,9.95,9.818,9.933,0.2
907,Morgan Hooper,Northern Illinois,9.475,7.557608695652176,2019,9.875,9.701,9.83,0.4
908,Deja Chambliss,George Washington,9.5,7.410227272727273,2019,9.95,9.851,9.91,0.45
909,Ashley Hofelich,Michigan State,9.65,6.725675675675676,2019,9.975,9.828,9.93,0.325
910,Kristina Peterson,Oregon State,9.675,7.56985294117647,2019,9.9,9.835,9.855,0.225
911,Mariella Miele,New Hampshire,9.55,6.753750000000001,2019,9.55,8.867,0.0,0.0
912,Abbie Nylin,Minnesota,9.775,7.633653846153846,2019,9.85,9.68,9.81,0.075
913,Alexandra Greenwald,Iowa,9.75,6.712068965517241,2019,9.925,9.781,9.895,0.175
914,Hailey Lui,New Hampshire,9.7,5.9296296296296305,2019,9.9,9.796,9.88,0.2
915,Karalyn Roberts,Eastern Michigan,9.65,7.274107142857144,2021,9.9,9.782,9.825,0.25
916,Mia Quigg,Illinois State,9.65,7.183653846153845,2019,9.875,9.697,9.85,0.225
917,Emma LaPinta,Oklahoma,9.575,8.117857142857142,2019,9.925,9.739,9.9,0.35
918,Esperanza Abarca,West Virginia,9.525,6.285344827586208,2019,0.0,0.0,0.0,-9.525
919,Brashlyn Johnson,West Chester,9.575,7.0597826086956506,2019,9.75,9.629,9.725,0.175
920,Amara Cunningham,Washington,9.725,7.437121212121212,2019,9.95,9.845,9.92,0.225
