,Name,School,L10_High_FX,L10_Ave_FX,Freshman,NCAA_High_FX,NCAA_Ave_FX,FX_nqs,FX_delta
374,Madison Heffern,Cortland State,8.75,8.485,2022,0.0,0.0,0.0,-8.75
375,Samantha Gilbert,Maryland,9.45,7.085344827586206,2021,0.0,0.0,0.0,-9.45
376,McKenna Weiner,Brown,9.125,7.068181818181818,2022,9.775,9.461,9.455,0.65
377,Sydney Thomas-Lutchmedial,Alaska,8.45,2.8166666666666664,2022,0.0,0.0,0.0,-8.45
378,Ashley Cromer,Ursinus College,9.375,6.378947368421051,2022,9.2,8.613,0.0,-0.175
379,Gianna Gerdes,Minnesota,9.675,7.187755102040816,2021,9.925,9.87,9.89,0.25
380,Emma Pritchard,Ohio State,9.725,7.252222222222221,2021,9.825,9.753,9.775,0.1
381,Avery Balser,Rutgers,9.65,6.981756756756757,2021,9.8,9.636,9.775,0.15
382,Lauren Miller,Air Force,9.65,6.6366071428571445,2018,9.75,9.423,9.655,0.1
383,Ella Barrington,LIU,9.5,6.990384615384616,2021,9.875,9.613,9.775,0.375
384,Kendall George,Northern Illinois,9.6,7.2114864864864865,2021,9.75,9.688,0.0,0.15
385,Sydney Hayashi,Michigan State,9.45,6.483088235294118,2021,0.0,0.0,0.0,-9.45
386,Kaitlyn Hoiland,Oregon State,9.45,6.71875,2021,0.0,0.0,0.0,-9.45
387,Bailey McCabe,Arizona,9.65,6.743181818181818,2021,0.0,0.0,0.0,-9.65
388,Kaylee Sugimoto,Illinois State,9.225,6.723863636363635,2021,0.0,0.0,0.0,-9.225
389,Adison Tanguay,Ursinus College,8.725,8.35,2022,0.0,0.0,0.0,-8.725
390,Velandra Brochi,Air Force,9.6,7.475781250000002,2022,9.875,9.725,9.765,0.275
391,Steelie King,Texas Woman's,9.5,6.215624999999999,2021,0.0,0.0,0.0,-9.5
392,Haleigh Bryant,LSU,9.9,6.8374999999999995,2021,9.975,9.826,9.95,0.075
393,Skylar Killough-Wilhelm,Washington,9.7,7.277499999999999,2021,9.9,9.782,9.855,0.2
394,Gabby Perea,California,9.85,9.725,2022,9.9,9.812,0.0,0.05
395,Rylie Mundell,Denver,9.8,7.255434782608696,2021,9.9,9.725,9.83,0.1
396,Chae Campbell,UCLA,9.85,6.711956521739131,2021,10.0,9.908,9.965,0.15
397,Olivia Dunne,LSU,9.675,6.286666666666667,2021,9.9,9.854,9.845,0.225
398,Isabella Magnelli,Kentucky,9.6,7.024999999999999,2021,9.925,9.85,9.885,0.325
399,Sydney Benson,BYU,9.775,6.6378571428571425,2022,9.85,9.491,9.75,0.075
400,Anna Hartley,Southern Utah,9.5,6.227500000000001,2022,0.0,0.0,0.0,-9.5
