,Name,School,L10_High_BB,L10_Ave_BB,Freshman,NCAA_High_BB,NCAA_Ave_BB,BB_nqs
1705,Carly Israel,Yale,9.5,7.3931818181818185,2018,9.775,9.0,0.0
1706,Sarah Liddle,UC Davis,9.575,7.05892857142857,2017,9.85,9.62,9.8
1707,Rachel Schuelke-Lombardi,UC Davis,9.45,6.179166666666667,2022,9.925,9.709,9.83
1708,Sierra Coonts,UW-Stout,8.7,5.508333333333333,2018,8.3,8.012,0.0
1709,Abby Johnston,Nebraska,8.125,8.125,2019,0.0,0.0,0.0
1710,Jade Degouveia,Oklahoma,0.0,0.0,2017,0.0,0.0,0.0
1711,Ashley Scarantino,Cortland State,8.0,7.616666666666667,2018,0.0,0.0,0.0
1712,Leah Messelt,Winona State,9.075,6.566666666666667,2017,9.475,8.775,8.635
1713,Megan Fayler,UW-Eau Claire,9.125,3.55625,2017,0.0,0.0,0.0
1714,Cassie Ehmann,UW-Stout,0.0,0.0,2018,0.0,0.0,0.0
1715,Emma Johnson,Maryland,9.2,6.208620689655172,2017,0.0,0.0,0.0
1716,Cassidy Marquette,Ithaca College,9.125,6.196875,2018,9.675,8.746,8.56
1717,Kerra Masella,Temple,9.15,6.647222222222223,2017,9.8,9.522,9.76
1718,Felicia Hano,UCLA,9.625,6.718333333333333,2017,9.825,9.775,0.0
1719,Madison Iannuzzo,Kent State,9.45,6.559375,2019,0.0,0.0,0.0
1720,Maddie Johnson,BYU,9.3,8.412500000000001,2009,9.7,9.433,9.38
1721,Amy Eck,Brockport,8.075,7.8916666666666675,2018,0.0,0.0,0.0
1722,Alexis Allen,North Carolina,9.425,7.4696428571428575,2017,9.9,9.566,9.85
1723,Breanna Murray,Winona State,8.45,4.125,2017,0.0,0.0,0.0
1724,Deanna Magro,Maryland,9.35,6.8881578947368425,2017,9.75,9.562,9.63
1725,Karen Howell,Illinois,9.65,6.887962962962964,2017,9.9,9.762,9.86
1726,Cora Geiger,Winona State,0.0,0.0,2018,9.45,8.866,9.23
1727,Rebecca Moore,Southern Utah,9.35,9.35,2011,0.0,0.0,0.0
1728,Amanda Pedicelli,Towson,8.0,8.0,2022,0.0,0.0,0.0
1729,Maddison Smith,Cornell,8.675,8.291666666666668,2018,9.8,9.352,9.71
1730,Jada Czysz-DeBoer,Hamline,0.0,0.0,2018,0.0,0.0,0.0
1731,Bridget Dean,LSU,9.75,7.544642857142858,2019,9.925,9.807,9.905
1732,Elyse Ryden,Ithaca College,0.0,0.0,2017,0.0,0.0,0.0
1733,Gabrielle Gallentine,Florida,8.65,8.4375,2021,0.0,0.0,0.0
1734,Shania Adams,Alabama,9.5,6.784375,2021,9.95,9.802,9.89
1735,Brehanna Showers,Oklahoma,9.65,5.671666666666667,2018,9.975,9.863,9.91
1736,Katey Digiacomo,Illinois State,8.325,8.325,2018,8.35,8.35,0.0
1737,Haylee Courson,Southern Conn.,7.85,7.4875,2017,0.0,0.0,0.0
1738,Morgan Hart,Arizona State,9.525,6.803125,2017,9.825,9.825,0.0
1739,Chloe Lorange,Nebraska,8.75,8.75,2021,9.85,9.732,9.83
1740,Halli Briscoe,Oregon State,9.35,6.433333333333334,2018,0.0,0.0,0.0
1741,Melissa Temkov,Towson,8.75,8.516666666666666,2017,9.875,9.536,9.765
1742,Dahlia Solorzano-Caruso,S.E. Missouri,8.875,8.875,2021,9.9,9.688,9.815
1743,Serena Baker,UIC,8.65,8.2,2017,0.0,0.0,0.0
1744,Emily Kelly,Kent State,9.2,5.897222222222222,2018,0.0,0.0,0.0
1745,Katie Bailey,Alabama,9.7,7.091935483870968,2014,9.975,9.717,9.905
1746,Jah'Liyah Bedminster,LIU,8.175,8.175,2021,0.0,0.0,0.0
1747,Taylor Jackson,Springfield College,8.875,8.7375,2017,9.425,8.717,8.99
1748,Angel Zhong,BYU,8.2,7.824999999999999,2017,9.75,9.478,9.63
1749,Taylor Chan,San Jose State,8.825,8.455,2017,9.9,9.578,9.85
1750,Ashlyn Kirby,LSU,9.675,7.206249999999999,2017,0.0,0.0,0.0
1751,Mallory Leneave,Minnesota,9.025,9.025,2021,0.0,0.0,0.0
1752,Kaitlyn Hall,Rutgers,9.575,6.3197368421052635,2017,9.825,9.584,9.705
1753,Grace Garcia,Stanford,9.1,6.390384615384614,2019,0.0,0.0,0.0
1754,Kendra Benak,S.E. Missouri,8.5,5.5,2017,0.0,0.0,0.0
1755,Isabelle Wittebort,Michigan State,9.525,9.24375,2018,0.0,0.0,0.0
1756,Alex Johnston,Bowling Green,9.375,6.715624999999999,2017,9.8,9.46,9.76
1757,Sabrina Vega,Georgia,8.7,4.35,2017,9.95,9.837,9.935
1758,Katrina Coca,Kentucky,9.6,6.85875,2016,9.825,9.614,9.785
1759,Tess Zientek,Towson,0.0,0.0,2018,8.775,8.625,0.0
1760,Alicia Boren,Florida,9.8,7.549137931034484,2016,9.95,9.809,9.93
1761,Macy Toronjo,UCLA,9.775,7.854545454545455,2017,0.0,0.0,0.0
1762,Kirah Koshinski,West Virginia,9.75,7.544696969696966,2016,9.875,9.711,9.84
1763,Emma McLean,Michigan,9.55,6.159999999999999,2016,9.875,9.817,0.0
1764,Olivia Karas,Michigan,9.6,7.120588235294118,2016,9.925,9.789,9.905
1765,Sarah Means,Boise State,9.65,7.621739130434783,2016,9.9,9.839,9.9
1766,Jamie Stone,Ohio State,9.625,6.652678571428573,2016,9.925,9.738,9.875
1767,Sabrina Garcia,Penn State,9.65,7.10725806451613,2016,9.925,9.613,9.86
1768,Sylvie Seilnacht,California,9.525,6.366250000000001,2016,9.825,9.632,9.68
1769,Jackie Sampson,Sacramento State,9.7,6.909821428571429,2016,9.875,9.562,9.825
1770,Erika Muhaw,Utah,9.675,7.25648148148148,2016,0.0,0.0,0.0
1771,Jenna Bresette,Alabama,9.5,6.9046875,2016,0.0,0.0,0.0
1772,Meredith LaRoche,Illinois State,9.475,6.5734375,2016,9.8,9.466,9.735
1773,Alexa Phillips,North Carolina State,9.45,6.7796875000000005,2016,9.725,9.442,9.67
1774,Caitlyn Fillard,North Carolina State,9.575,7.057407407407408,2016,9.85,9.667,9.825
1775,Sydney Converse,Iowa State,9.6,7.262037037037038,2016,9.9,9.693,9.84
1776,Amanda Huang,Ohio State,9.6,7.502380952380953,2017,9.875,9.731,9.82
1777,Haylee Roe,Illinois,9.75,7.3187500000000005,2016,9.875,9.773,9.86
1778,Ciara Gresham,Eastern Michigan,9.5,6.931451612903225,2016,9.85,9.467,9.685
1779,Morgan Porter,Missouri,9.65,7.270000000000001,2016,9.95,9.682,9.86
1780,Kaitlin Green,Cornell,9.75,7.15948275862069,2016,9.9,9.741,9.89
1781,Sarah Lippowitsch,Kent State,9.7,7.4475,2016,9.85,9.454,9.815
1782,Meaghan Sievers,Iowa State,9.525,7.31875,2016,9.875,9.658,9.825
1783,Claire Kern,Denver,9.575,7.195689655172413,2016,0.0,0.0,0.0
1784,Sienna Crouse,Nebraska,9.55,7.130769230769232,2018,9.95,9.786,9.89
1785,Michaelee Turner,Missouri,9.5,6.734259259259259,2016,0.0,0.0,0.0
1786,Maya Washington,Washington,9.7,7.348999999999999,2017,9.875,9.76,9.835
1787,Shannon McNatt,Utah,9.7,7.461538461538461,2017,9.9,9.715,9.777
1788,Kaprece Nadonza,San Jose State,9.475,6.465624999999999,2017,0.0,0.0,0.0
1789,Maggie Tamburro,North Carolina State,9.325,7.576785714285714,2016,9.15,9.15,0.0
1790,Brittany West,Pittsburgh,9.7,7.358620689655173,2016,9.9,9.68,9.86
1791,Skyler Sheppard,Arizona,9.7,7.121153846153844,2016,9.925,9.569,9.855
1792,Allison Bower,Missouri,9.625,6.184166666666666,2016,9.85,9.761,9.84
1793,Angelina Giancroce,Alabama,9.625,7.2185483870967735,2016,9.85,9.812,0.0
1794,Lyanda Dudley,Cornell,9.55,7.45,2016,9.875,9.634,9.845
1795,Rose Piorkowski,Iowa,9.475,7.569,2016,9.825,8.025,0.0
1796,Stephanie Brock,Penn State,9.55,6.378571428571429,2011,0.0,0.0,0.0
1797,Tess McCracken,Penn State,9.775,7.093269230769231,2017,9.925,9.644,9.83
