,Name,School,L10_High_BB,L10_Ave_BB,Freshman,NCAA_High_BB,NCAA_Ave_BB,BB_nqs,BB_delta
1210,Brooke Chesney,Ohio State,9.425,6.855769230769231,2018,0.0,0.0,0.0,-9.425
1211,Ava Caravela,Pennsylvania,9.5,7.54423076923077,2019,0.0,0.0,0.0,-9.5
1212,Zoie Schroeder,Northern Illinois,9.575,6.261538461538462,2019,9.9,9.598,9.84,0.325
1213,Carly Woodard,Oklahoma,9.55,6.947222222222222,2018,10.0,9.844,9.95,0.45
1214,Mia Lord,Northern Illinois,9.725,7.270833333333335,2018,9.9,9.705,9.885,0.175
1215,Kendal Poston,UCLA,9.625,7.415,2019,9.9,9.689,9.87,0.275
1216,Charlotte Cooperman,Yale,9.625,7.243902439024391,2018,9.825,9.705,9.775,0.2
1217,Kailey Gillings,Arkansas,9.85,6.928125000000001,2019,9.575,9.062,0.0,-0.275
1218,Shelbi Spivey,Seattle Pacific,9.55,7.076923076923076,2018,9.7,9.25,0.0,0.15
1219,Tyler Davis,Air Force,9.625,5.5953124999999995,2018,9.8,9.599,9.765,0.175
1220,Paige Stuyniski,Texas Woman's,9.825,7.425000000000001,2019,9.85,9.654,9.725,0.025
1221,Torri Hutchinson,Nebraska,9.7,6.977884615384615,2018,0.0,0.0,0.0,-9.7
1222,Sophia Restaino,Pennsylvania,9.45,6.031944444444444,2022,0.0,0.0,0.0,-9.45
1223,Yolanda Nodarse,West Chester,9.7,7.652272727272727,2018,9.875,9.664,9.835,0.175
1224,Lauren Bridgens,Penn State,9.55,6.830714285714286,2018,9.9,9.681,9.86,0.35
1225,Kasey Nelson,North Carolina State,9.575,6.5621794871794865,2018,9.85,9.745,9.82,0.275
1226,Lauren Guerin,Iowa,9.5,6.6343749999999995,2019,0.0,0.0,0.0,-9.5
1227,Tia Kiaku,Ball State,9.425,6.670238095238097,2018,9.825,9.662,0.0,0.4
1228,Rachel Borden,Illinois,9.6,7.659558823529412,2019,9.875,9.775,9.85,0.275
1229,Ellie Beckman,UW-La Crosse,9.375,6.863888888888888,2018,0.0,0.0,0.0,-9.375
1230,Tristan Brown,Michigan State,9.5,5.6812499999999995,2018,9.7,9.383,9.32,0.2
1231,Delaney Garin,Temple,9.675,7.257258064516131,2018,9.9,9.639,9.845,0.225
1232,Katie Waldman,William & Mary,9.575,7.081481481481482,2018,9.825,9.554,9.76,0.25
1233,Leighton Varnadore,Utah State,9.5,7.428125,2018,9.875,9.74,9.845,0.375
1234,Rylie Dewhurst,North Carolina,9.65,5.8076923076923075,2018,9.85,9.5,9.78,0.2
1235,Emma Hansen,Brown,9.475,7.5920000000000005,2018,9.775,9.582,9.7,0.3
1236,Hannah Cohen,George Washington,9.725,6.890217391304348,2018,9.875,9.734,9.865,0.15
1237,Clare Hampford,New Hampshire,9.575,7.258333333333334,2018,9.775,9.083,0.0,0.2
1238,Lauren Diggan,New Hampshire,9.325,6.5328125,2018,0.0,0.0,0.0,-9.325
1239,Natalie Morton,Denver,9.6,7.133653846153846,2021,0.0,0.0,0.0,-9.6
1240,Monica Servidio,Temple,9.65,7.191666666666666,2018,9.9,9.618,9.85,0.25
1241,Jordan Peloquin,Southern Conn.,9.55,6.766666666666667,2019,9.85,9.5,9.785,0.3
