,Name,School,L10_High_AA,L10_Ave_AA,Freshman,NCAA_High_AA,NCAA_Ave_AA,AA_nqs
0,Natalie Wojcik,Michigan,39.125,30.423750000000002,2019,39.825,39.434,39.717
1,Jordan Bowers,Oklahoma,38.925,29.950000000000003,2022,39.6,39.204,0.0
