,Name,School,L10_High_VT,L10_Ave_VT,Freshman,NCAA_High_VT,NCAA_Ave_VT,VT_nqs,VT_delta
2741,Shelby Edwards,Arizona,9.9,7.8075,2013,9.95,9.83,9.9,2.022
2742,Emily Barrett,Denver,9.625,5.99090909090909,2013,9.875,9.768,9.85,3.777
2743,Maile'ana Kanewa,Oklahoma,9.875,7.4557692307692305,2013,9.975,9.892,9.948,2.436
2744,Josselyn Mackey,North Carolina,9.45,6.79,2013,9.8,9.452,9.59,2.662
2745,Erin Freier,Arkansas,9.825,8.076785714285714,2013,9.8,9.693,9.745,1.616
2746,Kaitlin Rahon,Minnesota,9.5,6.517500000000001,2014,0.0,0.0,0.0,-6.518
2747,Brittany Stover,William & Mary,9.625,7.3999999999999995,2013,9.95,9.809,9.885,2.409
2748,Stephanie Miceli,Arizona State,9.6,7.916666666666668,2013,9.8,9.578,9.64,1.661
2749,Molly McFarland,Boise State,9.5,7.718181818181819,2015,0.0,0.0,0.0,-7.718
2750,Allison Northey,Washington,9.55,7.6840909090909095,2013,9.9,9.791,9.885,2.107
2751,M'rcy Matsunami,Alaska,9.675,7.8999999999999995,2013,9.85,9.721,9.815,1.821
2752,Haley Scaman,Oklahoma,9.925,7.594444444444444,2013,10.0,9.9,9.963,2.306
2753,Makenzie Johnson,BYU,9.775,6.948333333333333,2013,9.875,9.796,9.865,2.848
2754,Marissa Beucler,Kentucky,9.625,7.342857142857143,2013,9.8,9.695,9.78,2.352
2755,Taylor Alotta,Penn State,9.575,7.205555555555555,2013,0.0,0.0,0.0,-7.206
2756,Baylie Divino,Southern Utah,9.55,6.753571428571428,2013,9.775,9.702,9.74,2.948
2757,Rachel Henderson,Missouri,9.525,6.21111111111111,2013,9.6,9.55,0.0,3.339
2758,Audrey Tolbert,Ohio State,9.75,7.852083333333333,2013,9.8,9.727,9.76,1.875
2759,Taylor Redmond,George Washington,9.45,7.568181818181818,2013,0.0,0.0,0.0,-7.568
2760,Taylor Penzien,S.E. Missouri,9.675,7.252777777777778,2013,9.6,9.581,0.0,2.328
2761,Heather Foley,Illinois,9.475,6.99375,2013,9.85,9.72,9.81,2.726
2762,Michelle Gauthier,LSU,9.825,6.941666666666666,2014,0.0,0.0,0.0,-6.942
2763,Madeline Hanley,Minnesota,9.45,7.520454545454545,2013,0.0,0.0,0.0,-7.52
2764,Cassie Benning,Sacramento State,9.6,6.440624999999999,2013,9.85,9.765,9.775,3.324
2765,Arlyn Amor,Southern Utah,9.875,6.679411764705882,2013,9.85,9.71,0.0,3.031
2766,Krystine Jacobsen,Boise State,9.575,7.783333333333333,2013,9.8,9.705,9.735,1.922
2767,Lisa Burt,Michigan State,9.725,6.989999999999999,2013,9.85,9.665,9.815,2.675
2768,Anna Corbett,Western Michigan,9.7,7.916666666666667,2014,9.925,9.751,9.865,1.834
2769,Sarah Marquez,Oregon State,9.9,7.996153846153846,2013,9.8,9.762,0.0,1.766
2770,Sara Townsend,Iowa State,9.675,7.0875,2013,9.8,9.676,9.745,2.588
2771,Amanda Mohler,Illinois State,9.25,5.289583333333334,2013,0.0,0.0,0.0,-5.29
2772,Caroline Ellingboe,Bowling Green,9.3,7.306666666666667,2013,0.0,0.0,0.0,-7.307
2773,Hayley Sanzotti,Utah State,9.425,7.529545454545456,2013,9.775,9.575,9.73,2.045
2774,Elyse Shenberger,Pennsylvania,9.25,7.502083333333334,2013,9.6,9.521,9.545,2.019
2775,Taylor Rice,Stanford,9.85,6.6475,2013,9.95,9.79,9.9,3.142
2776,Lauren Brodie,New Hampshire,9.5,7.318333333333333,2013,9.5,9.192,0.0,1.874
2777,Alie Glover,Iowa,9.675,7.078125000000001,2013,9.925,9.74,9.845,2.662
2778,Sarah Neumann,Air Force,9.225,8.98,2014,0.0,0.0,0.0,-8.98
2779,Kimberly Ebeyer,Eastern Michigan,9.575,5.90625,2013,9.825,9.705,9.78,3.799
2780,Danci Cha,Illinois State,9.25,5.803571428571428,2013,9.35,8.8,0.0,2.996
2781,Alix Faden,Penn State,9.5,7.610416666666667,2013,0.0,0.0,0.0,-7.61
2782,Jenna Frowein,Stanford,9.275,6.84375,2014,0.0,0.0,0.0,-6.844
2783,Kyra Trowbridge,Iowa,9.6,6.75,2013,9.9,9.775,9.825,3.025
2784,Nicole Pearson,Pittsburgh,9.525,6.86875,2013,9.825,9.67,9.805,2.801
2785,Nicolle Eastman,Kent State,9.85,8.033928571428572,2013,9.825,9.663,9.81,1.629
2786,Carissa Kraus,Arizona State,9.5,7.44,2013,9.9,9.654,9.86,2.214
2787,Brittany Aragon,Western Michigan,9.55,6.54,2014,9.825,9.657,9.76,3.117
2788,Abigail Griswold,Towson,9.4,6.856249999999999,2013,9.675,9.505,9.61,2.649
2789,Jordan Widener,California,9.525,7.331666666666667,2013,9.025,9.025,0.0,1.693
2790,Katrina Carpenter,Bowling Green,9.5,7.745833333333333,2013,9.7,9.545,9.64,1.799
2791,Karlee Teet,Central Michigan,9.425,7.0576923076923075,2014,9.875,9.715,9.845,2.657
2792,Madeline Martinez,Cornell,9.7,6.45,2013,9.775,9.577,9.765,3.127
2793,Destiny Ezell,Utah State,9.5,7.225,2013,9.75,9.497,9.54,2.272
2794,Heather Elswick,Arkansas,9.8,7.987499999999999,2013,9.95,9.805,9.895,1.818
2795,Risa Perez,Arizona State,9.45,7.468181818181819,2013,9.775,9.7,0.0,2.232
2796,Shannen Kelly,Air Force,9.425,7.345000000000001,2013,9.65,9.505,9.6,2.16
2797,Jennifer Rochefort,Southern Conn.,9.35,7.015384615384615,2013,0.0,0.0,0.0,-7.015
2798,Ryann Anderson,Air Force,9.5,7.228571428571429,2013,9.625,9.547,9.555,2.318
2799,Catarina Broccoli,New Hampshire,9.425,7.177777777777779,2013,0.0,0.0,0.0,-7.178
2800,Kelsey Kopec,Auburn,9.4,6.595833333333333,2014,9.85,9.743,9.8,3.147
2801,Sarah Peterson,North Carolina,9.475,5.7875,2013,9.9,9.742,9.815,3.955
2802,Daniela Fumagalli,Lindenwood,9.475,6.8218749999999995,2013,9.625,9.459,9.58,2.637
2803,Allie Salas,Arizona State,9.25,7.760714285714286,2013,9.875,9.748,9.835,1.987
2804,Rachel Feeken,Denver,9.475,5.055555555555556,2014,0.0,0.0,0.0,-5.056
2805,Emily Nagy,Cortland State,9.45,4.615,2013,0.0,0.0,0.0,-4.615
2806,Sheree Romesburg,UW-La Crosse,9.3,5.743181818181818,2013,9.65,9.313,9.55,3.57
2807,Courtney Turner,North Carolina State,9.25,5.5,2014,0.0,0.0,0.0,-5.5
