,Name,School,L10_High_AA,L10_Ave_AA,Freshman,NCAA_High_AA,NCAA_Ave_AA,AA_nqs,AA_delta
3053,Kayla Williams,Alabama,38.6,38.214999999999996,2012,0.0,0.0,0.0,-38.6
3054,Allison Flores,Arizona,38.3,26.628571428571426,2012,39.425,39.126,39.35,1.125
3055,Kailah Delaney,Utah,38.3,37.65625,2012,0.0,0.0,0.0,-38.3
3056,Ciera Perkins,Boise State,38.25,27.075,2012,0.0,0.0,0.0,-38.25
3057,Sarah Persinger,Georgia,38.75,25.3875,2012,39.35,38.95,0.0,0.6
3058,Rachel Spicer,Florida,39.25,28.925,2012,0.0,0.0,0.0,-39.25
3059,Ellese Sakai-Hart,Denver,37.975,24.8625,2012,39.225,38.975,0.0,1.25
3060,Chelsea Tang,Oregon State,38.275,27.09642857142857,2012,39.5,39.093,39.39,1.225
3061,Dayah Haley,West Virginia,38.2,37.275000000000006,2012,39.225,39.094,0.0,1.025
3062,Stephanie Giameo,Maryland,37.8,37.07,2012,39.325,39.036,39.25,1.525
3063,Kassandra Lopez,Utah,38.725,28.553124999999998,2012,0.0,0.0,0.0,-38.725
3064,Tory Wilson,Utah,38.4,28.33125,2012,39.65,39.051,39.53,1.25
3065,Kiersten Wang,Florida,38.425,37.69,2012,0.0,0.0,0.0,-38.425
3066,Amber Wobma,Arizona,37.7,26.275000000000002,2012,0.0,0.0,0.0,-37.7
3067,Sarah Landes,Utah State,37.975,24.9125,2012,39.35,38.893,39.245,1.375
3068,Nina McGee,Denver,38.125,20.116666666666667,2013,39.775,39.339,39.59,1.65
3069,Lloimincia Hall,LSU,38.975,38.06,2012,39.45,39.17,39.395,0.475
3070,Maebelle Pacheco,Pittsburgh,37.65,36.42,2014,0.0,0.0,0.0,-37.65
3071,Ana Jaworski,Southern Utah,37.7,24.29375,2012,38.8,38.219,0.0,1.1
3072,Haley Sedgewick,Pittsburgh,37.6,26.364285714285714,2012,38.975,38.16,38.665,1.375
3073,Kylie Schermann,Minnesota,37.65,24.716666666666665,2012,38.675,38.375,0.0,1.025
3074,Haley Bodenheimer,Pittsburgh,37.6,25.192857142857143,2012,39.325,38.809,39.07,1.725
3075,McKenzie Fechter,Washington,37.675,24.982142857142858,2012,39.375,39.067,39.165,1.7
3076,Rachel Schick,Georgia,37.55,37.0375,2015,0.0,0.0,0.0,-37.55
3077,Jordan Naleway,Illinois,37.525,24.54583333333333,2012,0.0,0.0,0.0,-37.525
3078,Madison Podlucky,Washington,37.675,27.837499999999995,2012,0.0,0.0,0.0,-37.675
3079,Sachi Sugiyama,Michigan,38.35,37.83333333333333,2012,39.55,39.185,39.515,1.2
3080,Cierra Tomson,Minnesota,37.45,24.337500000000002,2012,39.375,38.923,39.295,1.925
3081,Caitlin Brown,Iowa State,37.525,24.604166666666664,2012,39.4,39.053,39.37,1.875
3082,Alexandra Mills,Arizona,37.45,37.45,2013,0.0,0.0,0.0,-37.45
3083,Natasha Sundby,Arizona State,37.325,27.393749999999997,2013,0.0,0.0,0.0,-37.325
3084,Brittany Webster,Auburn,37.3,37.015,2012,0.0,0.0,0.0,-37.3
3085,Alina Cartwright,Michigan State,38.525,26.800000000000004,2012,39.375,38.953,39.3,0.85
3086,Sarah Grady,Ohio State,38.3,26.628124999999997,2012,0.0,0.0,0.0,-38.3
3087,Jessica Morreale,Iowa,37.775,31.216666666666665,2012,0.0,0.0,0.0,-37.775
3088,Kelsi Eberly,Illinois,37.875,24.7125,2012,0.0,0.0,0.0,-37.875
3089,Brianna Guy,Auburn,38.75,37.775000000000006,2012,39.55,38.907,39.125,0.8
3090,Chelsea Bailey,UIC,37.2,36.055,2012,0.0,0.0,0.0,-37.2
3091,Ashley Noll,Michigan State,37.275,36.155,2012,38.75,37.55,0.0,1.475
3092,Alex Archer,Stanford,37.15,26.02857142857143,2012,0.0,0.0,0.0,-37.15
3093,Katelyn Ohlrich,Oregon State,37.85,24.620833333333334,2012,0.0,0.0,0.0,-37.85
3094,Caryn Kadous,Auburn,38.025,26.507142857142856,2012,0.0,0.0,0.0,-38.025
3095,Jamie Shisler,Florida,37.125,36.050000000000004,2012,0.0,0.0,0.0,-37.125
3096,Lane Jarred,North Carolina State,38.0,32.9,2012,39.1,38.542,0.0,1.1
3097,Michelle Adams,Western Michigan,37.6,24.316666666666666,2012,38.425,38.425,0.0,0.825
3098,Janell Sargent,North Carolina,37.425,27.665625000000002,2012,0.0,0.0,0.0,-37.425
3099,Shannon Mitchell,Kentucky,37.425,36.99375,2012,0.0,0.0,0.0,-37.425
3100,Gina Locigno,Bowling Green,37.45,37.18333333333334,2013,39.3,38.525,38.94,1.85
3101,Jaime Wright,Oregon State,38.15,24.8375,2013,0.0,0.0,0.0,-38.15
3102,Alexandra Stych,Air Force,36.925,22.259375000000002,2012,0.0,0.0,0.0,-36.925
3103,Jennifer Lauer,Nebraska,37.25,32.53125,2013,39.2,39.158,0.0,1.95
3104,Stephanie Comini,Kent State,36.8,25.17142857142857,2012,0.0,0.0,0.0,-36.8
3105,Kayla Gray,New Hampshire,36.775,30.6,2012,39.275,38.725,38.85,2.5
3106,Jessie Jordan,LSU,38.4,37.575,2012,39.675,39.157,39.58,1.275
3107,Sydney Clark,Seattle Pacific,36.7,25.79642857142857,2012,38.8,38.214,38.635,2.1
3108,Sara Skammer,Rutgers,37.275,36.94375,2012,36.975,36.975,0.0,-0.3
3109,Nicole Nickels,S.E. Missouri,36.65,22.549999999999997,2013,0.0,0.0,0.0,-36.65
3110,Anna Willette,Eastern Michigan,37.2,24.666666666666668,2012,39.175,38.812,39.06,1.975
3111,Alexis Carroll,Penn State,37.15,36.849999999999994,2012,38.85,38.419,0.0,1.7
3112,Amiah Mims,Kent State,37.85,24.679166666666667,2012,39.075,38.167,0.0,1.225
3113,Spencer Jones,Texas Woman's,37.225,34.368750000000006,2012,39.025,38.349,38.92,1.8
3114,Jamie Armijo,Southern Utah,37.925,25.921428571428567,2012,39.275,38.427,38.745,1.35
3115,Madison Kratzke,California,37.15,20.675,2012,0.0,0.0,0.0,-37.15
3116,Cami Guyer,San Jose State,36.35,35.365,2012,39.35,38.876,39.205,3.0
3117,Randi Lau,LSU,36.7,36.475,2012,39.225,38.717,39.025,2.525
3118,Madison McConkey,Nebraska,36.175,36.175,2014,0.0,0.0,0.0,-36.175
3119,Tiana Montell,UC Davis,36.525,36.074999999999996,2012,39.25,38.558,39.065,2.725
3120,Jamie Radermacher,Eastern Michigan,36.125,22.892857142857142,2012,0.0,0.0,0.0,-36.125
3121,Shelby Hilton,Kentucky,37.65,23.357142857142858,2012,38.7,38.283,0.0,1.05
3122,Morgan Steigerwalt,Arizona State,37.925,36.56666666666666,2013,0.0,0.0,0.0,-37.925
3123,Courtney Willoughby,George Washington,36.45,35.885,2012,38.375,37.686,37.655,1.925
3124,Jeanette Conrad,Alaska,37.325,23.762500000000003,2012,37.7,37.006,0.0,0.375
3125,Taylor Keeker,Oregon State,37.325,27.275000000000002,2014,0.0,0.0,0.0,-37.325
3126,Morgan Zlotolow,Ohio State,37.9,36.620000000000005,2012,0.0,0.0,0.0,-37.9
3127,Connie Kung,Brockport,35.8,35.14,2012,0.0,0.0,0.0,-35.8
3128,Kaitlyn Betts,Utah State,37.05,23.266666666666666,2012,0.0,0.0,0.0,-37.05
3129,Carson Tabiolo,Michigan State,36.025,35.44375,2012,0.0,0.0,0.0,-36.025
