Team,Year,VT,UB,BB,FX,Overall
George Washington,2019,39,36,39,45,32
Georgia,2019,4,11,9,9,8
Gustavus Adolphus,2019,77,75,82,76,80
Hamline,2019,82,81,76,78,78
Illinois,2019,30,23,17,32,23
Illinois State,2019,54,54,62,53,56
Iowa,2019,34,24,40,21,31
Iowa State,2019,17,22,33,39,20
Ithaca College,2019,70,70,72,69,69
Kent State,2019,52,40,36,41,38
Kentucky,2019,10,13,8,14,9
Lindenwood,2019,36,42,35,45,36
LSU,2019,4,4,4,4,2
Maryland,2019,25,24,36,30,30
Michigan,2019,6,10,6,8,5
Michigan State,2019,31,41,50,25,41
Minnesota,2019,11,9,12,13,13
Missouri,2019,22,26,20,16,17
Nebraska,2019,14,16,19,11,14
New Hampshire,2019,40,37,26,32,34
North Carolina,2019,26,57,48,29,49
North Carolina State,2019,34,32,30,35,28
Northern Illinois,2019,49,43,41,19,40
Ohio State,2019,29,19,25,42,29
Oklahoma,2019,1,2,1,2,1
Oregon State,2019,15,20,16,10,6
Penn State,2019,26,17,27,28,24
Pennsylvania,2019,63,56,46,62,57
Pittsburgh,2019,38,50,43,50,43
Rhode Island College,2019,79,82,81,80,82
Rutgers,2019,43,44,55,35,47
S.E. Missouri,2019,66,74,68,70,70
Sacramento State,2019,58,65,54,61,64
San Jose State,2019,56,45,53,54,54
Seattle Pacific,2019,61,64,67,66,66
Southern Conn.,2019,64,66,65,65,65
Southern Utah,2019,23,27,24,34,26
Springfield College,2019,71,76,71,74,73
Stanford,2019,32,31,29,18,22
Temple,2019,49,50,46,47,46
Texas Woman's,2019,54,55,57,55,55
Towson,2019,57,49,61,57,58
UC Davis,2019,45,52,23,48,39
UCLA,2019,3,1,2,1,3
UIC,2019,41,27,44,27,37
Ursinus College,2019,75,80,78,79,77
Utah,2019,2,5,9,5,7
Utah State,2019,48,38,49,44,42
UW-Eau Claire,2019,80,77,80,82,81
UW-La Crosse,2019,76,71,73,77,75
UW-Oshkosh,2019,74,72,70,72,71
UW-Stout,2019,72,69,69,75,71
UW-Whitewater,2019,73,73,75,73,74
Washington,2019,24,13,18,26,19
West Chester,2019,68,62,58,55,61
West Virginia,2019,21,34,42,15,27
Western Michigan,2019,49,35,51,58,50
William & Mary,2019,62,63,64,64,63
Winona State,2019,81,79,79,81,79
Yale,2019,59,48,28,52,51
Air Force,2018,56,50,50,55,57
Alabama,2018,6,5,6,11,8
Alaska,2018,68,69,65,74,69
Arizona,2018,39,28,30,44,38
Arizona State,2018,24,24,23,27,23
Arkansas,2018,25,7,10,20,10
